Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
SEPTIN6.2;SEPTIN6.3;SEPTIN6.5.2,4.8438136E7,3787171.2,8308996.5,1.7475036E7,3.40940864E8,5201338,3.8476776E7,1621239,1.2670726E7,1449498.2,6475944,2782015.2,1.7809896E7,907337.75,1.915974E7,45134.453,1.8527044E7,57436.625,4.352348E7,2015260.4
NAMPT.1.4,1.63794032E8,1.37360576E9,2.09453824E8,7.1764608E8,2.72985984E8,9.9750789E9,1.90994608E8,1.11710298E9,2.6180538E7,2099617.8,9930705,6962641.5,8.09672E7,5.4612346E8,1.42106496E8,1.1325515E7,8.0952432E7,1.182322E7,1.14112704E8,3.79473056E8
CAP1.1;CAP1.1.12;CAP1.20,7.2962278E8,7.480377E8,5.15959488E8,5.5633901E8,9.2874477E8,7.1216365E8,1.1328247E9,3.88545331E9,6.2965581E8,1.2727416E8,4.71154624E8,5998086,7.0162707E8,5.04947328E8,6.146777E8,1.4960661E7,6.4459789E8,3.325584E8,8.0577331E8,2.39114032E8
BIN1.13.2;BIN1.14;BIN1.15;BIN1.15.2;BIN1.16.2,4.9634168E7,4109980,2.1599834E7,2.1143848E7,1.16872192E8,2741324.8,2.602938E7,7147297.5,2.59890176E8,409.53625,8.7778264E7,146160.94,2.20520448E8,1.0458955E7,7.875168E7,2612870.8,1.04650576E8,2201873.2,3.9015568E7,82818.125
A2M.1,2.7392336E7,1.5781344E8,5.1856056E7,6.5620772E7,3.4191644E7,3.86979904E8,8.3837744E7,7.9396296E7,8.6767272E7,9.317148E7,4.8871784E7,1.0326002E7,5.324682E7,1.33833976E8,3.02838752E8,1.77405824E8,6.4597144E7,6.136916E7,5.6411104E7,1.87061776E8
SARS2.2.2,8.897532E7,5.273372E7,8907069,2.994824E7,2.68019232E8,3196649.8,7.005972E7,1.2659858E7,6538449,628479.3,4757039,30322.432,2.2716116E7,8991886,4.6720936E7,700264.8,2.0805828E7,2117079.5,3.0544724E7,1913361.2
MAP1A.2.10,7356501,139459.27,3021284,5284092,1.1576407E7,1275157.2,5011061.5,54006.72,2.6221626E7,1958828.9,8113786.5,189002.06,1.2117824E7,1262745.9,7497929.5,203454.9,1.3940874E7,94972.195,8789084,482684.53
RRBP1.1.6,6061355,2423134.2,205024.3,1103989.8,639961.4,4005755.5,1431608.5,1648047.8,1013319.56,7048493,2502503.5,721910.9,3046309.2,1665681,1776395.1,673502.75,1752835.4,48418.484,3192356.5,999397.94
ZC3HC1.4;ZC3HC1.4.2;ZC3HC1.4.3,1099275.2,1.1252215E7,3.0987424E7,3.3844492E7,655364.4,377528.44,3373286.5,2490945,2082867.2,2.1855902E7,2483725.2,94737.805,2249686,4912408,1577343,38468.855,1224002.8,1.3676913E7,3552502.2,1050196.8
MYH9.1.2;MYH9.1.3,1115689.8,730105.94,2784148,2294649.5,104909.734,2.1334222E7,581746.75,665602.2,749744.25,8027879,61780.53,866014.44,168748.03,1623945.9,1555836.4,1.4571434E7,783236.7,1683875.4,2145647.2,812799.5
