Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
AAK1.2,45914.168,35997.574,45351.273,228091.66,77963.63,0,7691.976,3373640.2,17266.543,8758.133,18289.414,13754.946,40332.727,65.8635,14609.417,2075.3184,34536.934,5545.5596,23134.652,0
THOP1.1,72916.14,91405.98,118327.07,202554.94,26430.547,791689.75,1.1393938E7,12474.713,40016.508,318222.75,20422.602,177369.34,48594.742,258374.28,134428.95,235540.19,306935.62,132747.06,9922.592,117741.06
IMPA1.3;IMPA1.3.5;IMPA1.3.7,8177685.5,4547791.5,3.088215E7,2.478713E7,1.3597746E7,1914821.9,4075021.5,1.2021795E7,2.618512E7,1580101.1,7607206,9069003,2.2676772E7,7218509,1.4386321E7,1865387.2,3463810,3124485.8,4745697,3986968.5
CYFIP2.6.2,1279275,98034.336,127201.79,611952.56,1262377.6,15128.38,1231722.4,1.4528936E8,1778890.5,35786.324,959251.6,47703.586,763384.3,174591.73,1997113.1,22893.914,639046.1,246761.48,2553853.5,25423.906
DBN1.1,252192.6,335164.8,552223.4,25277.236,747010.44,9502.327,8.5156152E7,453464.44,161885.05,373212.5,643055.56,460747.47,97664.555,331305.4,301203,103862.73,111269.49,573191.94,72826.09,114210.65
CLASP2.52.2;CLASP2.52.6,2705317.5,2155182,790121.8,2099220.2,476085.34,8776.668,2486439,3.1273812E7,189611.44,3457.1611,127933.86,12318.002,217204.97,14342.995,338733.03,0,2300409,1455330.9,209963.28,16247.913
PKM.12,34828.176,5179.9272,6127598,5336111.5,1353923.2,350949.6,699325.56,4267.6084,739.6425,0,46498.406,214782.14,53151.47,10859.577,123230.195,3500.4358,195370.62,2347035,0,216.96638
DDX17.2.6,56118.797,273958.03,134036.05,34784.64,803066.94,143756.92,2.855822E7,962132.9,344830.75,822705.25,160598.17,451558.06,201873.42,372357.16,35609.33,572148.56,95434.34,870088.7,120782.125,624087.6
NRCAM.59.2,1.1663856E7,558962.56,1.3910221E7,8320639.5,9986660,3662280.8,1647749.1,2.42457888E8,7874858.5,1118996.9,2664706.5,252550.92,9326805,3743670.2,4191286.5,406339.62,2789679.8,3694856.2,3613294,1853749.2
PPFIA1.2,4043.4985,4763.716,3060.3914,34599.348,84070.98,8216.521,80452.49,2856818.5,53833.047,31888.46,102426.89,83404.21,12564.397,7263.0137,37479.285,9602.766,0,0,6589.3574,3321.5854
PC.4,1328768.2,1545889.5,1542994.4,2317646.2,4055537,9.8303768E7,1.4170068E7,2.0457456E8,2861623.8,3290347.5,4458253.5,1.0927872E7,4106302,8046599,4259424.5,3.1657856E7,1127631.1,662579,1400683.1,439575.9
IPO5.11.10,292873,18583.6,100547.266,102712.34,369273.06,41989,1.968353E7,693253.6,131835.48,31391.303,131058.83,81655.44,16397.318,51081.57,110137.914,45329.2,117619.73,114779.35,63782.715,40520.75
EPB41L2.13,4956039.5,3491617.2,9918033,1.5354085E7,1.4407305E7,705610.94,1.32207552E8,1.37643008E8,1.6771862E7,1726994.9,9444305,7071558.5,1.3380221E7,3400893,8868934,1471239.9,2009151.8,868826,3632432.5,2466494.2
DNM1L.7.2,1436076.9,1423439.2,1464189.1,1671989.4,2347659.5,605482,4.7165996E7,2886928.5,554192.6,3.321396E7,506022.75,1184615.9,1044057.6,1055963.8,526310.44,352530.47,1390932.8,611397.8,539388.4,1862111.5
VIM.1.31;VIM.1.37,570187.3,1316565.1,2411742.8,2951549,382613.16,9944489,2.8051838E7,3917932.8,332875.16,2559028,264864.75,4046678,43484.402,1.0872638E7,242133.92,5.3872028E7,390121.03,2969417.2,68870.07,9850012
MTHFD1.2.2;MTHFD1.2.7,2127350.5,1099108.4,2051234,3207382.5,310963.9,784514.8,4.11735104E8,827203.56,271901.88,1037119.6,757836.3,701762.3,322281.34,548429.2,1245109.8,462408.03,646514.25,2405138,2143705.8,802455.06
EPB41L3.25,4.8026676E7,1944175.9,4.2033496E7,4.7785016E7,6.8826352E7,363916.97,4.4133704E7,6.7204984E7,5.1226484E7,527698.7,3.4160052E7,2916979.5,7.8868936E7,5981989.5,4.7470376E7,287071.97,1.5009674E7,819200.75,3.3685044E7,612008.3
PRPF6.1.3;PRPF6.1.4;PRPF6.1.5,1109340.9,688339.44,481215.9,5698010.5,163102.72,100573.87,2.569955E7,34407.66,507930.16,230505.55,19846.215,567959.5,2667362.8,136422.78,630751.56,164174.98,616885,401609.7,1494897.2,7572298
LTF.4.3,7487.787,7612.335,5301.6357,1794.869,3514.67,1555955.2,1460114.4,20606.352,12112.254,5717.4497,15688.496,131670.25,32769.617,12421.575,5369.4307,1917574.8,0,6164.3813,807.1089,370410.97
MAP1B.1.36,1.07770616E8,1.46531024E8,1.74111552E8,1.240774E8,8.9959336E7,2.9157962E7,9.0249424E7,1.41924E8,1.5636192E8,2.47648608E8,1.56485168E8,9.8158584E7,6.6122522E8,1.11713616E8,1.39609248E8,2.6074898E7,3.88976608E8,1.08989864E8,5.9081178E8,8.6119352E7
CAP1.1;CAP1.1.12;CAP1.1.8;CAP1.20,5037391,1196990,1.9249592E7,1.6616002E7,6771140,5481971,2.2011502E7,3.3199906E7,4765667.5,2632861,3100568.5,1.0418597E7,1.0654928E7,1.0644943E7,4581528,8093659,2088660.1,4448094.5,2634735.8,1.3138494E7
HSP90B1.1.21;HSP90B1.1.32,5119954,2902907,6236566,1.3541817E7,5863539,1.0434402E7,2.3468224E9,1.5971009E7,1.2231936E7,1.3801016E7,5185559.5,5.1106016E7,5845137.5,2.5785026E7,8171501.5,2.4088104E7,4942818.5,3974668.5,6354048,4.8739832E7
AMPH.1.3,791324.75,310405.3,97168.58,177219.11,1123744.5,16504.33,3.4894492E7,4215248.5,1070790,184109.08,524545.5,111413.91,321933.44,185672.33,1939168.8,56089.016,317970.94,294400.66,1246552,301681.06
UBA1.7.5,1732451.5,1180362.8,2011907,4274810,2158342,928262.8,6.9837715E8,7712241.5,1869582.1,1862608.5,1204680.2,1403327.8,1061375.1,433389.2,765042.4,2919819,1725281.8,793656.94,969654.5,2456075.2
GANAB.6.2;GANAB.6.3,13992.7,50831.11,140062.14,31659.49,166171.78,74407.8,1.67110512E8,384926.2,45239.97,575467.56,8923.557,150094.66,30680.059,76110.78,33399.97,43086.945,367745.2,28363.914,5946.385,784556.9
SPARCL1.2.10;SPARCL1.2.13;SPARCL1.2.21;SPARCL1.2.27;SPARCL1.2.3;SPARCL1.2.32;SPARCL1.2.33;SPARCL1.2.38;SPARCL1.2.41;SPARCL1.2.44;SPARCL1.4.11;SPARCL1.4.20;SPARCL1.4.25;SPARCL1.4.28;SPARCL1.4.30;SPARCL1.4.4,213946.86,45050.43,60842.766,78389.39,340432.97,381269.8,8007054.5,2917073,255577.52,691819.6,192580.39,818043.3,50508.777,357349.56,109049.23,698428.8,420050.56,46252.332,186483.34,89887.445
AP1S1.1;AP1S1.1.10;AP1S1.1.11;AP1S1.1.12;AP1S1.1.7;AP1S1.1.8,860747,31719.459,1163054.1,2733452,721229.25,48274.08,275074.06,927061.56,795355,165280.92,293549.5,335607.44,1741436.2,699722,1290647.9,410620.44,173397.06,287211.25,942019,1008586.1
CFB.1.2,274310.7,1071340.9,2732011.2,798535.75,1348270.6,7788503,4.3851792E8,1.274756E7,2853656.5,3769890.8,1984300.1,2.4527064E7,2508821.2,2039865.6,4671268,4.137852E7,534369.2,8376437.5,703573.8,6.6998104E7
NEFM.2,9421184,731444.1,2829503,2010716.4,2.77387E7,531312.7,3.0681606E7,5.6326112E8,1.1261972E7,1500014.2,4.4120256E7,5266639.5,1.9340054E7,2413823.8,1.5526676E7,558446.3,1.1325468E7,1007739.1,4355524,1618224
SERPINA3.2;SERPINA3.2.11;SERPINA3.2.15;SERPINA3.2.17;SERPINA3.2.7,29506.45,2175323.5,1.2944463E7,8537682,1319865.2,1259405.4,9638364,1.0830105E7,2798144.5,2136477,1174350.8,1.3773253E7,2101322.8,1.6563802E7,3979883.2,2084905,90597.67,1617162.6,556423.2,2.2195488E7
IGLL5.2.3,868870.75,5809473.5,3.7440096E7,276672.16,7491879.5,1.59627056E8,1.79300144E8,1.51010992E8,3362844,7183104,2.6443058E7,2.66355552E8,4.2594192E7,1.27810296E8,2.1966318E7,1.8779416E8,4076764.2,2.5375294E7,1576897.8,1.1008512E8
YWHAG.1.2;YWHAG.1.4,1140113.8,1199.3553,3929042.5,3479122,2890250.2,193460.77,1266487.4,2626547,2631481.2,648311.75,1161457.8,1200815.8,4718252,470319.75,1904161.8,301103.94,631260.7,9281.062,1258626.9,230194.73
STOM.3;STOM.3.2;STOM.3.3,7256102.5,5142605,2.7996896E7,2.2842662E7,1.1476471E7,7.147348E7,1.5183883E7,2.494242E7,1.5205663E7,1.1275456E7,5183586,4.6021912E7,9112408,2.9647066E7,5425667.5,2.3224616E8,2162641.8,9340206,4777657,8.4503344E7
FLII.3,130223.44,88781.516,828585.56,1048380.1,357636.38,143147.69,2186670.2,3.4017432E7,376004.66,999041.25,223572.72,875306.75,227196.64,702147.6,443832.25,316223.8,184645.22,269542.3,341969.97,647014.75
LTF.4;LTF.4.2,3263.1116,37065.34,32373.703,43888.953,26642.643,5200892,1.7079044E7,22898.451,69349.27,405234.25,21559.291,1476575.1,250898.33,1053121.8,46793.906,2083881,31290.945,77334.3,33010.01,1171315.9
ATP6V1B2.1.5,2.4128996E7,4225225.5,3.3551246E7,2.2254216E7,2.7259164E7,303972.56,5196047,7850605.5,1.6196583E7,281931.03,5276863,4324800,3.7730348E7,2662267,1.0958765E7,1223696.1,1.3289439E7,1352950.9,7064074.5,1704174.6
YWHAZ.7.12;YWHAZ.7.2;YWHAZ.7.3;YWHAZ.7.6;YWHAZ.7.7;YWHAZ.7.8;YWHAZ.7.9,1044210.1,807689.25,2854856.2,3392973.5,1723845.6,60574.81,433064.25,3028564.5,1571412.9,169078.03,437286.66,1578160,4864539,388799.88,1148329.8,2138899.8,613463.44,1068843.9,678378.9,207345.81
TIMM44.1.11;TIMM44.1.2;TIMM44.1.3;TIMM44.1.4,817861.9,104545.57,4974266,6176561,1787020.5,323200.72,447600.8,2052934.1,684741.1,433076.38,228317.62,490780.28,2193447.2,245963.98,870263.4,2224504.8,181763.66,1354076,662850.06,442664.25
ATP2B1.42;ATP2B1.42.10;ATP2B1.42.11;ATP2B1.42.12;ATP2B1.42.13;ATP2B1.42.14;ATP2B1.42.15;ATP2B1.42.2;ATP2B1.42.3;ATP2B1.42.4;ATP2B1.42.5;ATP2B1.42.6;ATP2B1.42.7;ATP2B1.42.8,7.317824E7,1.2442791E7,3.2982312E7,6.041812E7,8.687728E7,624734.5,1.203128E7,1.72896592E8,6.2337E7,4531245,3.5398016E7,3934828.2,5.0291408E7,6861268,6.1086056E7,182734.12,3.1460096E7,1485992.6,3.8935464E7,502037.8
EPS15L1.2;EPS15L1.7,145804.72,495299.3,527241.44,253183.33,490899.25,38242.21,1.4136694E7,592103.4,108398.28,219379.33,104377.164,132901.95,123859.06,849649.56,256521.77,458051.03,490955.78,954219.6,621419.44,417845.53
ACTN4.2.2;ACTN4.3.2,127440.74,417864.38,106395.55,165508.27,457943,94396.01,5.08376768E8,351115.56,287720.62,156414.4,434429.12,2677357,181399.88,840739.06,598364.8,9291653,155755.4,334114.22,446178.2,1085817.5
LCN2.1.2,6587.3496,11926.857,5962.1426,32610.258,2962.023,93209.695,4534.3315,40110.023,5389.471,21668.863,1589.9501,168313.47,2213.137,4942.1606,1792.1354,2197246.8,14185.694,109365.234,37753.47,836138.1
HGS.1.11;HGS.1.4,300447.1,172266.69,761363.94,150647.12,1062332.9,61737.6,6.1301968E7,1058053.4,788671.25,282152.78,237264.52,227661.53,706572.8,1332548.5,907034.75,652153.6,299571.6,382632.62,434641.7,880270.1
