Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
HSPD1.1;HSPD1.1.14;HSPD1.1.17;HSPD1.1.19;HSPD1.1.7,891956.44,1679044.8,4742234.5,2832149.5,5657143,9562027,7253964.5,306555.97,6755722,2027253.8,2341923,356249.5,3424728,1008117.94,5310581,1.2738141E7,2138650.8,1120047.9,826554.94,7906990
RPL19.1;RPL19.1.4;RPL19.2.11;RPL19.2.8,4597.426,98272.74,43392.18,55788.305,36248.035,1162497.2,155307.17,34756.65,750179.1,454043.94,28880.316,16673.133,355823.9,21140.656,214944.22,277265.38,20736.223,279266.12,334126.97,3015532
PEBP1.1.27;PEBP1.1.35;PEBP1.1.43;PEBP1.1.5;PEBP1.1.9,3.7505956E7,1346178.5,2.8212228E7,1.1956924E7,4.1968384E7,466234.38,3.6257524E7,511351.06,7.7176928E7,783737.9,1.3200533E7,1060299.8,2.4888248E7,1713594.9,4.8845552E7,66665.93,4298726.5,383379.75,3.8834524E7,2205200
PHPT1.4.6,0,741711.8,0,0,0,343126.25,0,442141.3,154.27094,1149299.8,0,368.5412,0,554828.4,23744.48,391005.38,1010290.6,2996571.2,0,109294.414
ACTB.1.10;ACTB.1.105;ACTB.1.121;ACTB.1.125;ACTB.1.14;ACTB.1.152;ACTB.1.156;ACTB.1.169;ACTB.1.184;ACTB.1.188;ACTB.1.194;ACTB.1.20;ACTB.1.203;ACTB.1.34;ACTB.1.37;ACTB.1.61;ACTB.1.67;ACTB.1.68;ACTB.1.90;ACTB.1.98;ACTG1.1.124;ACTG1.1.146;ACTG1.1.185;ACTG1.1.240;ACTG1.1.292;ACTG1.1.32;ACTG1.1.36;ACTG1.1.5;ACTG1.1.73,0,0,0,0,0,149115.02,528575.5,0,329170.66,49861.457,80911.125,16541.555,0,47113.457,0,327759.4,78.723564,0,0,71073.18
CORO1A.1;CORO1A.1.6,3837057,85494.04,542734.4,644317.8,1402567.1,2447137.8,2725966.8,47016.09,3617771.5,249971.88,463808.3,563276.4,2028855,265377.84,2806945,5940196.5,202196.58,62075.57,5377498,8908052
TLN1.1.3;TLN1.1.4,0,0,0,0,0,169383.7,0,0,0,1054.2697,0,0,0,0,0,81260.13,0,0,0,0
EIF3F.1;EIF3F.1.2;EIF3F.1.5;EIF3F.1.6;EIF3F.1.7,33906.5,5638.33,8559.275,36173.527,51262.957,1848459,55577.938,15273.462,236084.3,492536.84,41892.215,49754.598,86791.09,38409.934,195761.2,189669.4,37547.363,5761.953,2334.047,1009631.3
RPS8.1.11;RPS8.1.12;RPS8.1.6;RPS8.1.9,1378.3599,148679.05,0,184796.75,2396336.2,1.1712061E7,2105835.8,242932.47,2540379.2,3791353,850831.2,412974.34,324603.62,314894.97,138133.5,7814661,315314.12,1539700.2,75045.92,3.7537972E7
MAOB.1.2;MAOB.2.5,558541.5,154159.55,582097.94,634513.4,286744.22,1.9088392E7,753439.44,123481.83,1231593.8,35032.45,194460.78,108584.67,106229.78,190125.61,45488.984,1435129.8,47818.656,103995.805,382685.12,8485777
RPSA.2.14;RPSA.2.17;RPSA.2.18;RPSA.2.3;RPSA.2.4;RPSA.2.5;RPSA.2.6;RPSA.2.8;RPSA.2.9,0,4037.0935,0,226497.23,0,1413642.9,51287.95,33804.105,194405.97,377133.2,0,12155.315,0,89537.375,0,494797.88,78.26797,177920.05,0,3003284.2
