Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
STOM.3,1555768.9,463035.1,2.5321624E7,1.5671856E7,4647869.5,1.8407224E7,1.636792E7,5498102.5,8618688,1940109.9,1693125.2,1.8468184E7,6751690,1.8825938E7,2523778.2,2.3730796E7,58635,1622253.1,2408479,2.0462036E7
TWF1.2.2;TWF1.3,1470.455,5153.724,1314486.8,1049817.5,45908.582,77302.38,114875.72,164784.22,6378.4453,1134.0809,701.2614,326.604,170702.86,414828.78,0,332.85687,1230.6005,13002.773,533.5466,165566.08
IGLL1.2.3,1358.3999,159970.98,4180463,4055372.8,440258.94,792993.44,2774430.5,619469.75,137072.78,67263.2,270626.16,168843.66,340436.06,1017193.75,61095.25,133348.73,46662.934,127791.66,98535.336,315558.78
RRBP1.1.6,482068.12,1083192.1,7714085,9776262,1520133.4,2184668,5.0228416E7,1502487.9,2450789.2,3801144.8,1950415.2,3471641.2,471908.6,4315078,1782431.8,1831782.8,474695.78,5396810,441157.56,1964485.2
MYH9.1.2,228044.25,1785807.1,2537390,2969389.5,2348876,2.8868336E7,5.928308E7,1.266054E8,846333.56,2746468.5,2698567.2,2.8508168E7,3342005.5,2.3215366E7,1653034,2.0422008E7,902369,2846627.5,2333896,6381871.5
CNTN2.2.2,10431.877,10699.788,2228.9648,72017.15,86350.19,0,1.0666154E7,396394.94,1240203.2,3530.4705,108840.414,527221.25,75877.79,109821.55,65496.277,2632.1194,3005.6926,7381.098,8437.504,421.27396
DPYSL2.3,6710485,2147406,7020548.5,6571666,1.0668727E7,8355783,3.9164516E7,8076735.5,1.2100095E7,3998415.2,1.2860007E7,5650377,1.0078133E7,6540269,9828118,7542844.5,8788356,814933.25,1.0633382E7,5944260.5
ATP6V1B2.1.5,3823833.2,363466.56,1.95222E7,1.6334286E7,1.7520362E7,267768.34,1437046.1,6541228,9847336,229497.95,4004817,2529791.8,3.5385876E7,1900062.8,6764711,205392.27,1253702,380090.34,3647438,468239.47
FLOT2.1;FLOT2.2;FLOT2.4.2;FLOT2.5,664921.56,60984.457,4588242,4307028.5,3000047.8,637702.06,269042.56,1189988.9,670357.4,36903.996,126437.15,136595.92,2695975.8,476696.75,845669.25,49302.59,749356.56,467660.62,300437.94,878073.7
TUBA4A.1.11;TUBA4A.1.14;TUBA4A.1.2;TUBA4A.2,5301.5083,8297.004,1620178,1278867.5,1325830.2,21076.797,159748.81,913577.1,940949.7,25615.139,1310333.9,105.8285,602036,51619.434,1102427,11350.421,294434.6,16335.895,515926.9,9510.066
