Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
STOM.3;STOM.3.2;STOM.3.3,1297588.8,4979276.5,780596.2,5438233,1176456.1,1.6491207E7,4557128,1.7173332E7,6604851,2184072,5060018.5,4.7710436E7,487196.2,8834197,563999.3,5.361228E7,2526035,4518728,1257790.8,1585115.4
DBN1.1,5081598,875916.6,8664959,9142881,6275025,1289732.5,1.6214214E7,2179899.8,1.1285914E7,9162605,1.5846586E7,2333542,1.0289729E7,1.0266055E7,1.4431772E7,1728274.1,7639967.5,7356597.5,7102507,3450377.2
TWF2.1;TWF2.1.3;TWF2.1.6;TWF2.1.7,3.3654976E7,1.4954773E7,2.8692024E7,4786919,3.096063E7,2.5939864E7,5.8704952E7,4.13382E7,2.170338E7,3.4773432E7,2.3736854E7,3.0422448E7,3.5673176E7,2.06129E7,3.7621328E7,2.1227048E7,5.0667244E7,2.0842462E7,3.105082E7,2.986776E7
ABAT.20;ABAT.20.2,1016585.1,522469.56,9.7373016E7,7.2454936E7,3093295.2,1065934.5,4.264362E7,383536.78,5.7698152E7,3.61593408E8,3.3536504E7,6.7577728E7,5550753,9500848,973755.44,1.1883566E7,1.5867672E7,1.21279616E8,1.02899568E8,2342607.5
LTF.4.3,0,1566253,4922.736,37488.4,25214.25,3.0888522E7,12875.166,14536.421,29968.137,99485.734,0,323814,692.5951,5916.1147,6019.7793,3.3296274E7,2368.278,4752.925,58998.65,2348.794
SERPINA1.15,0,0,144.68016,1328.2756,0,0,93439.09,858316.1,589.0685,399.57056,118652.99,2716017.2,0,355924.5,0,0,567319.4,60382.062,835.8387,1208.7115
PKM.12;PKM.17.20;PKM.17.23;PKM.17.37,169363.92,1433610.6,268566.66,167.50745,10280.376,1.488479E7,62784.9,183390.11,474153.97,2317077.5,2331.8716,2008947.8,5609.489,51580.08,8712.008,3.476304E7,46243.242,19001.54,61905.504,318947.7
MAPT.10,2633734,340885.1,1968395,2352497.8,3419505,771907.75,4966904.5,610465.1,6990277.5,1804862.1,1478633,1064044.5,2207612.2,967665.06,3184717.5,145824.9,818893.1,4781572,771609.9,667495.9
ADPGK.3;ADPGK.4;ADPGK.8,210497.52,95393.12,38997.023,138690.75,166276.48,564792,660296.44,479725.53,200999.94,1872002,133239.03,3238536.2,22385.387,420910.03,746298.3,1.6834494E7,139409.2,368962.94,59327.742,68405.016
HNRNPK.1.11;HNRNPK.8.13,1.0537902E7,1.45393904E8,4.9357016E7,4.5036104E7,3.5007824E7,5.801818E7,2.2870946E7,1.3872168E8,2.8989344E7,5.9252704E8,1.3613836E7,3.6695544E7,5109232.5,3.0103382E7,1.3265315E7,6.0690064E7,1.1591592E8,9.8406384E7,2.2213972E7,8.276004E7
GNAS.12.2;GNAS.14.2,10421.438,86.88538,5077211.5,6606383,26281.62,4823.6685,3040.6375,0,49.56093,888.7655,0,190.61269,4570.553,6248.8716,9627.727,4685.369,165.1004,671.1855,2765.6785,885.18536
BIN1.13.2;BIN1.14;BIN1.15;BIN1.15.2;BIN1.16.2;BIN1.2;BIN1.8,6197914.5,23874.783,2107662,1630185.9,7631936,772931.4,7792631,1900329.2,3.103249E7,2443862.5,2.303633E7,9452241,1.9934618E7,1576218,2.5032928E7,915320.75,1291438.6,1.3026398E7,6161916.5,330918.34
PDCD6IP.2,90604.85,837566.6,21587.77,38841.82,48300.56,6999811.5,487773.78,501529.78,195538.92,408222.78,88931.37,203720.45,44230.645,18988.275,28738.098,1496872.9,60617.598,38395.316,16826.67,30187.441
ALDH7A1.1;ALDH7A1.1.2;ALDH7A1.2.4,1617317.8,2.375984E7,3596787,2295447.5,1619235.6,1.03878192E8,657209.8,8016401,3366713,3691899.5,407774.97,477426.84,1124779.8,1572992.9,932034.4,5606092.5,838781.6,956823.2,2376440,6878143.5
PEBP1.1.11;PEBP1.1.12;PEBP1.1.14;PEBP1.1.17;PEBP1.1.18;PEBP1.1.19;PEBP1.1.2;PEBP1.1.22;PEBP1.1.23;PEBP1.1.25;PEBP1.1.27;PEBP1.1.28;PEBP1.1.29;PEBP1.1.3;PEBP1.1.30;PEBP1.1.32;PEBP1.1.35;PEBP1.1.36;PEBP1.1.37;PEBP1.1.38;PEBP1.1.39;PEBP1.1.4;PEBP1.1.42;PEBP1.1.43;PEBP1.1.44;PEBP1.1.45;PEBP1.1.46;PEBP1.1.5;PEBP1.1.6;PEBP1.1.7;PEBP1.1.8;PEBP1.1.9,31421.771,0,561835.7,34913.43,99215.13,10189.722,758659.25,380463.44,851740.4,146293.69,1097853.5,59756.766,471118.47,156364.45,583296.2,98861.14,52271.188,34148.492,383462.5,23348.234
FN1.3,3776.0796,0,588.59705,20942.965,29605.895,81598.234,9291.037,34547.63,3446.1528,2048.567,13814.1455,83984.52,10660.916,2857.328,5901.2207,122243.68,70161.04,4141.313,3716.4375,32140.875
SYN1.2,9.6003688E7,198009.34,5.3765632E7,6.8519056E7,3.9064324E7,1417337.8,2.3908896E8,1107187.8,2.15574832E8,1071049.8,8.1045264E7,609502.7,7.558656E7,3411469.2,8.914412E7,132430.14,5253545,9.0609024E7,1.435528E8,1971139.1
RAB3A.1.3,4.0723424E7,169539.77,3660084.8,5637730.5,3.0241358E7,221409.36,5.0863008E7,1822447.8,8.3726856E7,46776.055,9.1047072E7,172949.3,1.6664588E7,1960594.5,5.02116E7,32318.625,1.1763055E7,6.4080328E7,3.7247132E7,3353351.5
EIF4A3.2.2;EIF4A3.2.5;EIF4A3.2.7,867918.8,1.0840365E7,3.443318E7,4.9265316E7,551672.4,1.4566883E7,2.3604246E7,776424.9,1.8124584E7,3.26275264E8,7596016.5,5.0226536E7,597635.56,3.1204032E7,1413555.4,2.917526E7,2.9111336E7,1.5707994E7,1.959095E7,420800.28
CAMK2D.12;CAMK2D.47;CAMK2D.5,507109.7,360322.06,1828415,264093.94,412542.88,1827299.5,588510.56,626629.44,841732.8,2.2567394E7,188050.38,4752577.5,1120659.4,124240.875,76731.65,3636875.5,258802.3,2194984.5,1720938.5,270728.5
ACOX1.2,270802.8,1568919.6,7923588.5,1.0366189E7,3731107.2,9260835,1.6931144E7,1505773.8,1.0105233E7,8.3715304E7,5484952.5,5.15185E7,789894.5,1.698099E7,521680.06,4.706054E7,1727120,6023780.5,8975727,1092077.8
NDUFS1.2;NDUFS1.5,1203535.2,1744966,85711.08,12270.316,673523.25,5796462.5,95805.08,755161.4,1100198.8,159947.92,60194.65,904123.8,143351.14,976964,845989.94,3895478.8,867713.56,0,447085.1,13301.669
DDX6.1,73459.47,3721834,3120276.8,2827611.2,407672.25,3323165.2,221811.48,2880274.5,1057049.8,1.1356822E7,478860.25,2727934.8,2028.4093,1579697.5,525099.7,3492161,5094394,1746835.8,869271.9,856004.1
NOVA1.10;NOVA1.12,253053.34,1.0102864E7,4676572.5,3964158,2524689.5,4428131,1072270.8,2208256.8,1632051.1,4.2330564E7,395183.12,106620.81,767851.56,155716.72,554223.94,1909624.2,4257197,3482730,690987.5,3803965
CAMK2A.2.2,1.4970392E7,653869.75,8.517652E7,2.8458864E7,4074124.2,237604.42,3.4928888E7,1061703.6,3.177578E7,586060.2,2.2971298E7,5544672,4.420614E7,2337372,1686642,248845.47,2.8800406E7,1.70302832E8,3.795352E7,2242622.5
HSPA5.1.14;HSPA5.1.15;HSPA5.1.3,967142.7,3.3980704E7,4094639.5,8353449,1194028.2,1.89358096E8,1799839.2,1.0268063E7,1906888.8,5.0424864E7,2157870,3.63491E7,1027400.25,1.2985889E7,5416204.5,1.82907488E8,9452118,1210067.5,1443123.8,1499225.4
ANXA1.1.18;ANXA1.1.4;ANXA1.1.5;ANXA1.1.7,470463.7,9.5038128E7,1668362.4,1175148.1,816930.75,1.88152128E8,574674.4,4.29296E7,159559.7,810182,512474.84,3.421676E7,1079018.4,2.4553874E7,1270126.8,5.254832E8,1.6776926E7,1180360.1,418473.9,2.28363136E8
PACSIN1.2,1.20634016E8,1123397.5,4.3100724E7,2.428684E7,8.3206992E7,493645.9,1.34671424E8,3591640.8,1.1690628E8,773016.6,9.1908168E7,2.2080822E7,9.4857856E7,1349221.1,1.068338E8,2316736,2.034077E7,1.79369456E8,1.3434008E8,6010619.5
PLIN2.1;PLIN2.1.10;PLIN2.1.5;PLIN2.1.7;PLIN2.2;PLIN2.2.2,471853.1,9053663,699286.4,225761.12,1355028.9,3.464744E7,238693.42,1.5368685E7,1544618.1,410265.66,808703.8,1.81911872E8,493567.28,1.9783578E7,548829.56,2.8697936E7,890213.6,22176.564,506713.2,114305.3
PTPN11.3,595280.5,1454882,3043963,1.8486366E7,2.7949822E7,5.4583356E7,3.9748072E7,3.2943498E7,2503729,5.263122E7,1712337.5,6152714,504201.75,8453999,1505043.4,724929.8,2476827.8,3128076.5,498996.7,4014603
GSN.1;GSN.20;GSN.20.2;GSN.36;GSN.36.2;GSN.36.3;GSN.36.5,2109641.8,2.23198752E8,7.8654392E7,2.8704454E7,8708610,1.60356787E9,1.9964854E7,1.53908704E8,4.2505844E7,6.12582E7,3.8341216E7,1.27830669E9,1.9842264E7,3.10061664E8,2.970402E7,2.27279539E9,5.268234E7,2.547029E7,1.3317297E7,2.3010248E7
CADM4.1;CADM4.4,945494.56,6644.55,3325605.5,3246740.5,1428009.5,55571.83,2723478.8,4265855,2.6697124E7,2828287.8,6446038,3.6792504E7,8146603,6115667,6812164.5,497715.06,1391418.6,7931298,4846500.5,167133.56
NDRG4.1,5.7740712E7,710387.75,3.7533252E7,3.2815164E7,7.339768E7,1469355.6,1.02044904E8,1.8688846E7,8.2712224E7,2457399.2,8.1932688E7,1.6898362E7,6.1419112E7,1.9033604E7,7.7725344E7,73486.586,6221743.5,2.8321834E7,5.3086796E7,2.4496824E7
NCAM1.4,202884.6,2172118.5,162961.86,212148.66,6650962,5823470.5,8217797,1777015.5,3436895.5,924754.25,1533458.1,1341950.1,3049533.8,469797,2035380.5,1282105.6,220682.95,268204.12,3092244,159223.72
POLDIP3.3.2,1843939,3552434.5,1.2912316E7,1.8208424E7,584617.44,423451.8,3793242.5,2429419.2,3226885,8.5801256E7,3459021.5,3543893.2,2812045.2,1.3667694E7,1516929.6,276712.78,1.9512662E7,3827377.8,2078980.5,5358006
IGLL1.2.3,34446.734,1.9395172E7,8939079,2629025,725688.06,1.4365918E7,6555136.5,1.9924658E7,1030217.1,3654094,6709614.5,3.5374944E7,2212757.5,1.5049397E7,9759100,6.3124656E7,9098593,1779853.1,666454.94,6466073
GDI2.2;GDI2.2.4,629060.2,1047766.3,2.13808912E8,1.8486664E8,1326959.4,1.1124143E7,1.30039464E8,2739732.8,1.32911328E8,6.706855E8,1.16393824E8,7.4126208E8,2.3045826E7,5.205504E7,1.1306059E7,5.9544058E8,6.2850192E7,3.66589088E8,1.77275584E8,878334.8
ATP6V0D1.1.11;ATP6V0D1.1.13;ATP6V0D1.1.6,3.08208384E8,3.1785668E7,3.2098074E7,572032.25,8.5638861E8,1.1982875E7,1.0631564E8,1.46848992E8,4684145,583592.5,6.3329734E8,1.53954448E8,4.8333788E7,1131496.8,5.4607738E8,8.2946704E7,1997670.1,2940818.2,1.4137009E7,1.75556768E8
EPB41L3.25,2.5800088E7,235510.39,1.4984646E7,1.0891275E7,2.4495628E7,927590.75,2.5724404E7,6479708,3.1668804E7,93775.92,3.6146416E7,7063211,2.2531858E7,2198931.8,2.4727564E7,333727.28,1037986.5,1.608837E7,9311952,1512431.2
CSE1L.2,181354.53,1916664.2,1.2991484E7,1.3764641E7,5393412.5,1.8495818E7,340788.25,3346950,282568.12,1.9387256E7,659776,625484.9,387187.2,623590.8,1089890.9,1.0655453E7,182653.06,1.11645E7,856464.9,2051555.1
PSMD4.2.16;PSMD4.2.21;PSMD4.2.26;PSMD4.2.27;PSMD4.2.29;PSMD4.2.3;PSMD4.2.4,124255.21,883860.94,1546595.9,1828693.6,587303.3,2633113.5,4457535.5,1546065.5,6137831,1.03902384E8,2335923.2,4.6538504E7,583926.8,1603567.4,748788.9,1.1750483E7,2074999.1,4585036,7100801,1610555.1
LTF.4;LTF.4.2,85442.39,1529272.5,2627.504,187942.3,3637.7092,3.3437084E7,33063.05,306085.94,1328.2949,26523.74,294676.8,2334565.2,606854.75,165518.16,4573.117,2.690244E7,23787.219,65575.53,227982.17,206960.17
DNM1L.7.2;DNM1L.8,114823.95,1322752.1,483433.5,644119.1,964376.1,1.6048287E7,1443223.4,1397618.1,2048313.8,1275784.2,567603.3,223303.52,602115.2,30676.504,572807.3,365490.2,225641.16,89379.15,312967.3,999752.2
RTN4.1;RTN4.1.2;RTN4.1.4;RTN4.1.5;RTN4.1.8,1131366,157054.28,8294394.5,8996850,405208.6,301920.66,1.1835784E7,2335114.5,2.6087456E7,844127.9,1.3641086E7,6238402.5,3092661.5,3525421.2,1.1448115E7,115570.06,761361.25,1.4373896E7,8015535.5,4656470
HLA-A.3.14;HLA-A.3.21;HLA-A.3.25;HLA-A.3.5,50823.934,32135.107,35010.418,43713.25,3670758.8,5.701162E7,1.3879781E7,4.1022848E7,8424904,2.52636944E8,39893.11,47211.47,361143,2.4227678E7,1430003.8,3612430.5,3135246.5,181698.98,34262.32,176352.61
YBX1.1;YBX1.1.16;YBX1.1.33;YBX1.1.5,1858868.4,2315767.2,1.5133661E7,1.8208318E7,1505542.6,3040374.8,1.9642602E7,8847736,1.159651E7,2.25357888E8,5376298,4.0391564E7,580590.1,2.8050414E7,846451.94,1.672848E7,1.1721574E7,4594971,8763414,2678264.2
BASP1.1,5.6023756E7,2991968,1.2504179E7,1.6433394E7,1.2874887E7,4483829.5,8.8948984E7,2908068.2,8.3276336E7,781685.25,5.3003092E7,1.735584E7,6.9124216E7,7201399.5,3.3675252E7,2.5586322E7,793488.1,1.5968688E7,2.4491528E7,4006715
KPNB1.2.2,605504.4,6202910,4309255,4166421.5,1392119.8,6.9880824E7,1.6517043E7,1.7853168E7,2.3430492E7,2.41827312E8,2115050.2,7544191,3080011.5,4066656.2,1928526,5.3988888E7,3452968.8,3256635.5,2270411.8,1539798.5
PBX1.11;PBX1.6,0,617323.56,1627289.4,1815309.4,65574.23,177223.16,136129.92,505023.53,149957.77,6646825,165614.98,141961.97,176720.34,1605513,117972.47,118310.33,3077612.2,309345.62,321847.4,5897391
CFH.2,967167.4,2.5476752E7,1034241.6,462031.5,352410.12,2.9904952E7,1.3691873E7,1.2132489E7,1.2570009E7,2.3436252E7,624213.5,2.4112284E7,214557.88,3836909.2,981935.6,5.2593092E7,2190742,225844.95,370119.38,301099.62
DARS1.1.11;DARS1.2;DARS1.2.2;DARS1.2.4,117810.37,1464534.8,713893.9,1026823.6,553527.5,2.3758994E7,759974,3348566,1000752.4,4444512,152317.83,1378930.4,1185515.9,1693825.6,1136321.5,5233930.5,701404.56,407888.2,221656.69,1843427.5
FLOT1.2;FLOT1.2.3;FLOT1.2.4;FLOT1.2.7,1.7728918E7,1.8994712E7,1.13337944E8,1.515568E8,5139902.5,9.88808E7,3.31164448E8,4022349,1.68726432E8,3.19752736E8,8.3625528E7,2.17901008E8,1.891239E7,8.656056E7,1.8342454E7,3.15436352E8,8.4685144E7,1.6479576E8,3.18091104E8,4372695
TTC1.1.16;TTC1.1.2;TTC1.1.5;TTC1.1.6;TTC1.1.7,1110084.8,77812.42,414444.3,102671.555,97249.875,63216.23,97874.5,407777.25,84504.516,133972,876145.25,81259.66,377315.84,84885.484,502703.94,51267.56,124121.35,468718.66,46909.64,5238314.5
PMPCB.1.8,311059.75,54905.215,9500667,1.1885104E7,91412.23,2082705.9,6267354,103583.21,4110923.5,3.6154612E7,3770806.2,5976737,904556.75,5828231,1514130,7178959.5,3834361.5,9631075,1.1813322E7,161228.03
UQCRC2.1.2;UQCRC2.1.4,1.20659802E9,3.65664704E8,7.0774016E8,1.03954637E9,5.7184704E8,3.16270272E8,1.57258752E9,3.98892E8,1.9230295E9,4.8539376E8,1.08276454E9,7.17968E8,1.19995776E9,4.91353504E8,1.11013261E9,4.68415328E8,4.52948608E8,7.3634662E8,1.03972013E9,3.77876576E8
G6PD.1;G6PD.2;G6PD.2.10;G6PD.2.4,334375.47,4205425,1912762.9,129708.26,2429748.8,5.2326244E7,3139581,8863990,1.3257921E7,7645428.5,8060323,2.1605344E7,1248476.4,2.2813716E7,1743420.8,2.0624106E7,4425977.5,2731556.5,721209.06,4189195.2
SNX6.1;SNX6.2;SNX6.2.4;SNX6.3;SNX6.3.2,3397006.2,2126628.8,2.5956832E7,2.5436078E7,866066.6,5503481.5,1.3624777E7,3166268.2,2.3521408E7,1.10380336E8,1.2357832E7,8.3029832E7,1445812.6,6739359,2926782.8,1.1148586E7,6187860.5,2.694219E7,1.4909429E7,3140355.8
FUS.1;FUS.1.3;FUS.2;FUS.2.2;FUS.2.3;FUS.2.4;FUS.2.5;FUS.3;FUS.3.3;FUS.3.4;FUS.5.3;FUS.5.5;FUS.5.8,751887.6,1.5684646E7,5501051,1935791.8,2643033,1.2254495E7,3427422,1.0854264E7,5529034,3.107809E7,2392758.5,7530454,1303336.4,4091209.5,3203785,7643991.5,1.0240182E7,3144418,1853715.6,1.0259466E7
RCC1.3.2,4134895,1.2470945E7,2.0096328E7,2.4571496E7,783914.5,9144179,9447468,1.5314208E7,7827666,4.0126548E7,8664833,1.736638E7,7461778,3.4598712E7,8220704,2.6390354E7,4.1021544E7,1.4306274E7,1.2256828E7,2.1101706E7
DCTN2.1.2;DCTN2.2.2;DCTN2.7,2099461.2,2231653.5,6.71001E7,3.7415824E7,5024125,9441922,1.4344405E7,6299154,3.4799284E7,1.08897656E8,2.4383512E7,7.8004232E7,1.1344577E7,5823431,1.1924305E7,4.7263092E7,8634755,8.5944856E7,5.8018688E7,1.8061856E7
NCDN.1;NCDN.2.10;NCDN.2.2;NCDN.2.3;NCDN.2.4;NCDN.2.5;NCDN.2.6;NCDN.2.7;NCDN.2.9,0,0,167230.97,241683.7,196121.14,598074.56,309933.38,92002.77,320457.22,264030.25,11236.333,4929.5806,1926.0659,16390.96,39265.918,40016.516,3643.905,203.39893,304528.47,7405.7495
TRIM2.14;TRIM2.21;TRIM2.24;TRIM2.29;TRIM2.8.4;TRIM2.8.7,82816.67,1366892.4,699989.75,537887,798044.6,3920510.8,1537713.8,2633481.8,4155724.8,543372.94,2866406.2,4064837,1077832.6,1110265.8,3785086.5,642302.1,10828.605,1096706.4,670007.06,7888.9956
PDIA3.1.14;PDIA3.1.26,810729.06,3251032.5,1138098,924727.6,1245004.5,3.7985132E7,1165004,2091505.6,4372922.5,8.3399232E7,2736671.2,7972939.5,1915603.8,1925056.8,1429001.6,1.11097304E8,1193210.8,499648,719212.5,1312211.6
IGLL5.2.3,91447.11,6024274,7658267.5,6372078.5,4953820,1.02574336E8,3.4706488E7,1.02587728E8,2301566.8,1.1113885E7,3.61092E7,7.0388243E8,1.3175256E7,7.035708E7,9632431,3.27249792E8,2.1263312E7,8812734,196073.36,2783576.2
HLA-C.1.15;HLA-C.1.9,9563.18,6229646,4426571,5057645.5,815309.4,6430949,1.2513956E7,1.9352944E7,1609049.2,9.6883872E7,1672235.6,1.2084288E7,534065.6,1.284418E7,2054.656,56476.58,6420959,445692.2,1700492.8,14148.201
NAMPT.1.4,1576820.5,1.66055952E8,1654370.9,2011721.4,1092859,7.5795526E8,977738.75,1.0338316E7,543728.5,945494.4,870839,3.3820508E7,774659.9,2473791.2,1564092.8,3.22545792E8,2562299.2,1534840.4,1490273.2,7907877.5
TF.1.3;TF.1.7,2631759.5,1.20637776E8,1.1701904E7,6065944,3275684,4.49936352E8,2.0725156E7,1.29917336E8,4.0273152E7,6.5432856E7,2.1004812E7,1.54198624E8,1.2339472E7,3.8807472E7,2.323435E7,3.05409696E8,4.0434792E7,1.2475234E7,3898150.2,3.2259492E7
PRKAR1A.10;PRKAR1A.10.3,4601676,964245.6,8.1485696E7,6.9934352E7,1656114.6,4354944,7.92858E7,5529149.5,1.39150816E8,2.05267456E8,8.5708792E7,9.6021688E7,2.539887E7,1.44677232E8,2.3508498E7,3.239519E7,2.4551522E7,7.4965576E7,1.217638E8,7531196.5
GDI1.1.11;GDI1.1.22;GDI1.1.31;GDI1.1.4,5313943.5,508472.62,7051365.5,8060756.5,1950203.9,3339618,1.0927375E7,3197613.5,2.7255192E7,3361002.2,6452012,9136752,4872385.5,4895852,7642897,2753453.5,4164154.8,8187328.5,1.1699642E7,2369543.8
SLC39A14.13,15226.454,3.9389252E7,257802.7,207569.66,34271.164,1.4945613E7,70086.81,4451196.5,56838.03,1880568.2,164708.34,9097028,5700.877,1563298,31219.28,2.4403208E7,1493042.8,17938.867,5309.8555,522510.12
PRKAR2A.3.2,93222.05,1.1702354E7,7656079,5531083.5,1372288.2,1.340925E7,4201807.5,9883095,7064880.5,5.5502904E7,4941926.5,2.9334006E7,1268690,1.0263287E7,3072263.5,3.39219E7,638357.8,3877738.5,8674436,1605819
P4HB.1.5,388809.88,1.4663263E7,3003292.5,3053597.5,1347151.2,1.22497336E8,940295.4,7844756.5,3138398.5,3.3790528E7,1100091.6,6.3921444E7,2284251.2,1.3911722E7,500476.62,4.33541728E8,3009880.2,533755.8,537627.06,1598482
NEFM.2,1.0489138E7,4922480.5,1.1917553E7,1.1492087E7,3.4933936E7,2167724.8,1.6770769E7,8.2043568E7,3.5797092E7,1978643.1,9.7562744E7,2.29249104E8,4.3702456E7,2.60146E7,2.7503228E7,9541521,5343486.5,5.4006124E7,5870659,1113920.5
CAP1.1;CAP1.1.12;CAP1.1.8;CAP1.20;CAP1.20.11,545020.56,1.0797717E7,2021260,1051044.5,1273575,8.0694128E7,6883851.5,6.5499724E7,6089865.5,9035551,4774615,1.0086894E7,626801.4,4038922,3791507.8,3.1768402E7,1877644.6,839861.94,3310154,4495304.5
ME2.2.3,2153367.5,9461750,5246331,776446.6,432835.22,3.083184E7,717193.6,926308.9,205564.17,396858.94,6201732,9.040872E7,1667751,5.1379892E7,2443072.2,2.3534008E7,2501110.5,1694384.8,1715525.1,290340.56
LRPAP1.1.32;LRPAP1.1.4,3.8040496E7,7.7455768E7,1.19559448E8,1.23914816E8,5.1523992E7,1.20601448E8,5.3117032E7,8.7132656E7,5.125402E7,4.10829216E8,3.3892876E7,9.0117328E7,4.8967856E7,1.57556304E8,5.271056E7,1.30667496E8,3.23871744E8,5.4694584E7,5.3051788E7,1.51940176E8
SYN2.1.5,3.436558E7,85384.945,2.840974E7,2.3745302E7,2.5086656E7,181833.17,3.5253512E7,1122627.6,1.5699847E7,200047.92,5190504.5,704655.4,3.067E7,2936674.8,3.5518468E7,63405.11,4950831,2.5783672E7,4.4984476E7,4995705.5
SEPTIN7.1;SEPTIN7.1.10;SEPTIN7.1.3;SEPTIN7.1.6;SEPTIN7.1.8;SEPTIN7.5;SEPTIN7.5.11;SEPTIN7.5.3;SEPTIN7.5.6,1.0549359E7,9220544,2.97679168E8,2.37379024E8,1.103818E7,1.9300816E7,7.3672776E7,1.2053128E7,1.02232256E8,1.46446131E9,1.05338008E8,5.35009856E8,3.609098E7,5.1818672E7,2.36872E7,1.46967104E8,8.850792E7,3.6428144E8,1.57539664E8,1.0389138E7
SERPINF1.1.2;SERPINF1.1.3;SERPINF1.1.4,1.728832E7,1.14660952E8,4.9138592E7,2.9715032E7,1397869,5.4871732E7,1.053574E8,4.4524E7,9.2245952E7,2.24634592E8,4.8169256E7,4.78788032E8,3.25384E7,1.73690512E8,5.7165672E7,1.43285286E9,2.139328E8,9.2456288E7,6.8956584E7,5.0019164E7
PARVA.1,1683275.2,9752478,1.2123597E7,1.1058885E7,189332.95,2228256,2.0875128E7,5318657,1.816787E7,4.9060796E7,1.1289866E7,2.1406792E7,4930100,2.9278336E7,4775316,5254018,2.9722948E7,8360035,1.062195E7,5700302.5
ILF2.1.6;ILF2.2;ILF2.2.3;ILF2.2.4;ILF2.2.5;ILF2.2.6,8.074596E7,3.10540672E8,1.75152224E8,2.53387472E8,5.120778E7,1.5050464E8,1.15835112E8,1.79436384E8,1.07612072E8,7.2992109E8,6.816868E7,1.7521776E8,6.072368E7,1.83589616E8,7.8806624E7,1.97862848E8,3.99670272E8,1.14458896E8,9.7008976E7,3.10404544E8
