Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
STOM.3,53002.984,997206.25,667263.06,284015.97,755729.44,3.5414896E7,504668.7,3659323.8,1171132.1,1.5136814E7,906157.3,1879641.8,7051.1763,1836380.5,54465.586,4.779318E7,910196.06,2017283.5,105193.26,1.1938551E7
NAXE.1.10;NAXE.1.14;NAXE.1.15;NAXE.1.19;NAXE.1.34;NAXE.1.6,2446520.5,1345449.5,1923312.2,1.2570438E7,1561350,3408441,2.043031E7,2963141,3302609.2,1.6926064E8,2.975407E7,1.0447704E7,775642.5,7520879,427491.9,2.5818832E7,4.949752E7,6.0483568E7,7951767.5,740284.5
APOE.2.2;APOE.2.3;APOE.3.37;APOE.3.41,1002998.94,1330120,3115871.8,4477929.5,6642464,2.7403934E7,1.5390658E7,2.6710948E7,1.3464586E7,2.9163408E7,9418592,3.2389882E7,6795487,1.7299322E7,1.1612753E7,1.804406E7,5847502,8443531,1.3700886E7,1.3239501E7
PSMA5.4,15447.387,17551.172,3539.1477,89276.59,1496.4335,95628.83,9622.204,18623.674,17640.383,1.1387432E8,1396.3264,3659.2983,3847.9946,182.07587,1880.2572,12621.462,131439.97,233714.84,4838.9756,0
FLNA.1,65310.81,247733.5,245842.3,217551.75,82784.914,8883725,125370.23,1896050.5,63397.27,1113891.1,47171.883,4820231,18640.934,4175725.5,46601.242,1.9910878E7,62444.785,230093.69,73476.1,1675784.8
ALDH2.1.2;ALDH2.1.4;ALDH2.1.6,3439699,2134381,2017296.8,2256896.5,513470.28,1516428.9,2144579.2,5479383,3440892,152162.58,1188245.1,109217.33,1026778.06,143088.25,1199472.5,568552.25,1316187.5,253944.88,4233581,841665.1
EFHD2.1.3,1.0116171E7,6876535.5,1.0645473E7,1.3850805E7,1.8568304E7,3.7636824E7,1.2071097E7,1.0464642E7,9785059,2.1766098E7,1.2304177E7,1.455311E7,4975147,7891216,1.4734107E7,5.7069608E7,9414767,5181009.5,9055488,2.7400304E7
DCTN2.1.2;DCTN2.2.2;DCTN2.7,23077.334,769298.2,703559.4,455682.4,518032,5804726,488457.34,1747562.4,1302876.4,934529.4,1104054.5,3129127.8,688535.1,241676.62,160519.03,2538415.5,386491.72,21133.715,613712.6,2048972
WDR1.2.2;WDR1.2.4,1348515.8,1050487.1,259779.78,3050906.5,1740966.5,2262045.8,4279310,707902.1,3240164.5,4071840,5847582,1538158.2,246792.12,3162306,124442.734,5611376,4665753.5,3483020,2529311,1149609.9
HBB.1.17,1.6270855E7,4.4877388E7,4.1950112E7,2.5039086E7,2.4925998E7,3.13840544E8,1.15637064E8,3.89433792E8,1.09266648E8,5.08220064E8,6.9477976E7,2.41624E8,2.9002136E7,7.8818704E7,2.6571808E7,9.9512304E7,3.9523792E7,7.4494712E7,2.5343406E7,8.8870736E7
EEF1G.1.10;EEF1G.1.3,137268.6,329675.97,251111.08,536757.75,120023.62,6982991.5,547693.75,986497,236149.9,4153297.5,426148.72,2773118.5,46727.312,1953725,109779.81,9727940,304483.47,2624784,237376.9,4425228
VDAC1.4,1.2301858E7,1348993,6497247,2.778167E7,4627147,6236288,3.8911668E7,2084799,8225570,2.2842574E7,2.1544658E7,2896430.8,3051564.5,8217926,3192536.8,2.4680884E7,2.5834202E7,1.3173395E7,2.2058758E7,3248575.5
CA2.1.6;CA2.1.8,1273999,4144980.2,5288624.5,4625833.5,1576670.5,1.50449888E8,2295282,8472512,5792835.5,1.4140806E7,2473941,8386933,1849476.1,5418706,2534820.8,2.3960006E7,3605463,2915321.5,652078.3,1.3553762E7
HSPB1.1.4,2238041.8,1.9415772E7,1.4373578E7,3.5128E7,1723068.5,1.11476688E8,1.0563787E7,7499463.5,7069716,8.8564744E7,9627053,1.5048225E7,1068067.5,2.1763536E7,999902.25,6.7956584E7,6900974.5,2.4573206E7,7698561.5,2.0108608E7
IGFBP7.1.12;IGFBP7.1.17;IGFBP7.1.21;IGFBP7.1.4;IGFBP7.2.10;IGFBP7.2.13;IGFBP7.2.14;IGFBP7.2.15;IGFBP7.2.16;IGFBP7.2.5;IGFBP7.2.6;IGFBP7.2.9,48606.664,214893.83,45009.273,19712.965,415227.88,2560939,1324003.8,8518281,387670.44,2942001.5,137295.77,8992273,53820.676,7338804,60277.215,5255022,50071.96,1.4498534E7,21487.268,780274.56
PDCD6IP.2,356901.56,30723.137,57457.934,205319.23,11854.103,4598763.5,56478.723,21744.273,10024.989,420728.66,119281.74,80976.125,30552.533,150630.69,95288.664,1419226.6,48870.62,30866.46,140711.66,273511.6
PHGDH.1.3,714941.44,4966784,4068162.5,4240409.5,1042743.5,2.3944022E7,1115099.8,2143698.5,2994739.5,1558400.6,1051553,705664.5,337365.12,3855654,732842.7,199998.97,1085109.8,1576431.4,1756389.9,2722818.2
ATP6V1B2.1.5,4092069.5,1159009.2,633341.8,1327069.5,2380134.5,1.9922712E7,4345735.5,860838.8,3786607.2,1620262.1,2156972,1679749.9,1639641.1,799375.4,1806712.8,2464628.2,2164700.5,253219.2,2779405.8,1549081.5
CKB.1;CKB.2.11;CKB.2.2;CKB.2.21;CKB.2.37;CKB.2.79;CKB.2.88,2424035.2,2411602.8,2996695,7187935,1237612.6,897553.9,4070932,1027069.75,4472907,3430750.5,3228485.2,1929852,1805917,1296780.9,1212504.5,541796.1,2869589,2239285.2,4220191,480996.2
