Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
STOM.3,2769811.5,9724641,2816746.8,3221629.8,8142299.5,5.4266696E7,4.586492E7,2.3468966E7,2.7851276E7,2.603532E7,1.2727573E7,6.5266724E7,3860589.2,2.0238832E7,1479237.1,1.239642E8,4670407,8591434,3878270,3.6130664E7
BIN1.8,2.090968E8,1.3193712E7,6.4668792E7,1.02068464E8,8.9708008E7,1108230,8.7539648E7,4353421,4.7260732E7,116227.71,1.3723542E7,736150.94,1.3009424E8,1.0784925E7,8.1505728E7,287964.88,1.3723158E7,793701.4,1.97079392E8,210215.11
NSF.1.3,1.79420621E9,6458370.5,1.1994671E7,3.5926916E7,5.8735488E7,5.3167188E7,4.4956212E7,2.27738544E8,4.6064664E7,1245394.6,2.6898358E7,788875.94,9.5261432E7,3.3984424E7,7.0373768E7,320560.25,1.3692016E7,2229171,8.2274771E8,7869157
TLN1.1.4,1042279.8,3589218.5,3654547.8,3269294.2,1257366.8,1.45217904E8,1.04291443E9,2.4912942E7,2222122.5,5.364558E7,1241496.1,6.4688176E7,386271.4,8576701,1192144.6,9.6413104E7,2295041.5,2225928.8,2504452.5,7.626588E7
FLNA.1,4984168.5,1.5979632E8,1.14463344E8,8.7154984E7,2.8382852E7,3.36256E8,2.73895245E9,2.8403104E8,2.0260022E7,1.95870768E8,2.5796648E7,3.33054656E8,1.6097611E7,5.0866032E8,1.7930756E7,3.90160064E8,3.5249384E7,3.4250656E8,3285905.2,4.38943936E8
AP1S1.1;AP1S1.1.10;AP1S1.1.11;AP1S1.1.12;AP1S1.1.7;AP1S1.1.8,48838.49,8580.704,251788.89,332809.3,16583.92,0,344056.72,451101.3,258448.83,220119.78,275254.97,125365.06,262803.1,19000.316,239810.27,83476.555,57752.055,9415.292,54984.89,9977.113
EZR.1.2,2.9989252E7,8995066,4464610,6699855.5,4636796.5,8334717.5,1463052.2,1.44883056E8,2.893137E7,1637207.6,9886639,1.1808782E7,3.176792E7,1.0677616E7,1.277901E7,3759335.8,1434663.1,2365239.2,7056161.5,953220.9
SHTN1.1,1.0085619E7,4638360,1.9032386E7,2.3310152E7,1.1254789E7,7115169.5,4868552,1.2659996E7,2.5700032E7,389316.38,1.1819341E7,2090914.2,2.4627036E7,1.6036724E7,1.2312788E7,1080287.5,1.0754374E7,2513590.2,1.0751635E7,2411807.8
MAP1B.1.36,1.5428149E7,2.7259108E7,5.2394036E7,5.2934776E7,2.64126E7,6.881568E7,1.07332152E8,6.1623827E8,6.875816E7,3.2518288E7,6.0557424E7,5.7059688E7,6.2733828E7,8.6827032E7,4.7026444E7,3.0107866E7,7.050864E7,2.8233564E7,2.9887174E7,2.9548494E7
BCAN.3.16;BCAN.3.9,1.0976948E8,3.40506816E8,7.4222765E8,4.19552256E8,1.42590048E8,1780167.1,1.95010192E8,9.2869312E7,1.77717232E8,5.04896192E8,1.1621868E8,1.129574E7,1.25283256E8,1.55794656E8,7.6265864E7,1075919,1.62171936E8,6.3024276E7,1.88969168E8,5513966.5
LTF.4.2,86245.64,424271.28,21521.41,558815.3,455869.5,8.4477363E8,1113249.4,1.4355208E7,1232214.5,1106515,170394.19,1.7274244E7,124705.01,2.5578668E7,279693.94,1.36732912E8,309724.16,379041.8,259452.5,8.320756E7
COPA.2.12,529106.2,8868720,866701.2,2209350.5,344907.94,5.2596084E7,1.8542096E7,1.1389288E7,942800.25,9.8096336E7,714558.3,3553416.5,361700.12,2510536,1404784.6,1.6826252E7,2987282.8,8015642,1300637.5,1.4272636E7
SUPT5H.5.11;SUPT5H.5.2,23146.107,1730349.1,1005433.8,1281344.9,95799.25,19877.648,7840.633,478045.47,112892.87,1.946535E7,179043.83,198645.5,88904.8,355478.3,405993.56,279161.25,1298033.6,1768969.4,60180.54,3074286.2
