Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
SERPINA1.15,0,595.2797,80194.29,21892.736,1675.4716,546.569,850291.2,4574707,733.97565,5092.985,2095150.2,4.4277096E7,38361,2483662.8,0,0,449146.34,7219608.5,0,1435.989
IGLL1.2.3,39016.816,3134740,1848807.6,2991685,710630.94,1.9104092E7,3207183.5,2.2218228E7,1099444.5,113150.914,2798119.8,2.4337258E7,1257424.8,8009197,6392960.5,2.9267188E7,806089.44,3383281.5,1086721.4,1.8244262E7
DDX6.1,2.3653538E7,2.8634506E7,1.24741712E8,9.3207592E7,9357089,1.4859703E7,3.1902796E7,2.377383E7,4.5900488E7,3.19904544E8,4.5953084E7,2.5898996E7,2.916677E7,5.0031652E7,2.8788466E7,1.2841889E7,3.6183552E7,2.46019472E8,6.119496E7,7.1367384E7
UQCRC2.1.2;UQCRC2.1.4,9.8778928E7,5.646648E7,4336401.5,7787557,1.23527936E9,4.1541024E7,3465969.2,1.33206904E8,1.1257698E7,1461921,1.1823904E7,2945539.2,2.3602328E7,2143671.5,6.2753108E7,1883184.5,1.2318872E7,5682510,8489511,4.280762E7
PAFAH1B1.5.5,6.5935996E7,9.4327744E7,1.1327522E7,1.3910451E7,1.60492688E8,1.52886416E8,1.2279606E7,2.27185152E8,1.6550813E7,6864964,3.0003782E7,3637366.8,2.7220448E7,1.4545703E7,8.1452768E7,1538011,1.5202752E7,2.539254E7,1.3821587E7,7.1448296E7
IDH2.1;IDH2.3,1.66022096E8,2.80937536E8,1.9694702E7,2.9811616E7,1.32689856E9,2.83728704E8,1.3212664E7,5.952665E8,1.8529956E7,3840985.5,4.4759976E7,1595292,1.02986184E8,3.719762E7,1.79066576E8,319668.25,2.269355E7,2.1892138E7,2.8752164E7,8.6135472E7
DPYSL3.1,1.0665849E7,3.8719144E7,2.10831616E8,7.335292E7,3738476.5,1.2019088E8,1.4570338E7,6.6755072E7,6.4042308E7,4.7035056E8,4.5871764E7,5.8432275E8,1.2533804E7,1.87514432E8,9990327,3.15745152E8,1.0893726E7,3.37075E7,4.8067884E7,4.16667616E8
STXBP2.4;STXBP2.4.2,165795.25,29861.008,80237.266,67471.43,73040.85,1.1752496E7,27057.54,139202.3,18892.436,2346728.2,24937.809,4623619.5,7825.218,63835.137,275192.38,8825257,40169.29,690584.56,144601.89,1169666.8
TERF2IP.1.12;TERF2IP.1.3;TERF2IP.1.4;TERF2IP.1.9,380877.97,716409.94,6533227,1941350,834237.44,318243.5,1453995.8,296092.88,6479981,5.3934148E7,7122551,4273854,695449.5,3261782.8,1153167.4,1572022.8,325013.97,2.0556968E7,2143657.2,1.1294259E7
CADM4.1,6689119,6149522.5,4.2766432E7,2.3620098E7,2.4017604E7,918377.8,1.5526478E7,2.466388E7,1.79910608E8,4.7934364E7,1.24923456E8,4.555208E7,6.2023336E7,2.6484222E7,3.8268304E7,629797.3,5.663554E7,2.1715536E7,1.5306399E7,7267724.5
ABHD12.1;ABHD12.1.3;ABHD12.2.4,1.5717415E7,1.6105768E7,324360.94,2134955,9.3403584E7,3.1557546E7,75359.516,7.8353968E7,595296.9,854079.1,943101.7,332343.5,7824147.5,6200909.5,1.9926652E7,270978.8,440177.8,3906428,2881892.5,1.0929935E7
NCLN.1;NCLN.2,585890.5,1653383.2,1.8898944E7,9983302,543687.6,3109337.5,1032994.4,2338063.5,2059740.4,6.7902464E7,7625748,1.3031235E7,4541528.5,4272109,2804057.5,9732451,3279325,7.4588944E7,1.0357595E7,3.6659412E7
SPP1.1.13;SPP1.1.16;SPP1.1.18;SPP1.1.30;SPP1.5.2,104622.27,534521.5,5900892,4719916.5,1697570,1389871.8,1.3237458E7,8.583908E7,2.4381876E7,1200799.5,2.0675952E7,1.376004E8,5340442.5,1.02092776E8,6573014,1.4741005E7,2425612,2.5771518E7,599516.5,4585002.5
HSP90AA1.2.13,8487235,2.2127586E7,8.7959704E7,1.000292E7,1.3190211E7,2.1398096E8,7162544.5,2.2665202E7,2.049363E7,2.8832686E7,1.2629863E7,4.4083868E7,1.1559238E7,1.2548482E7,1.7609136E7,6.742124E7,9041593,2.2678258E7,7808092.5,7.47014E7
HNRNPK.1.11;HNRNPK.8.13,2.483033E7,1.05249072E8,2.04411968E8,1.72169552E8,1.8383164E7,4972386.5,5.9797656E7,5.7807976E7,1.039868E8,9.9194944E8,1.528252E8,2.83044E8,4.1799564E7,1.72320128E8,3.9170296E7,1.8264892E7,1.9244624E7,3.95953248E8,8.474016E7,1.14629864E8
CFB.1;CFB.1.2,381172.1,2.74335136E8,7029456,2.5701274E7,456717.47,5.6689336E7,884132.1,4567154.5,429583.62,5189676,2140795,1.78244144E8,516961.28,2525772,1224376.6,3.98039872E8,200848.94,1038426.3,652892.4,3.2388884E7
CKAP4.1.3;CKAP4.1.4,3452401,1057672.1,7080947,4730676.5,2239263,3.0578818E7,2425038,1392642.4,2165742,1.13449056E8,1920859.5,1.41116256E8,2422725.8,1515737.5,1182673.6,2.19516064E8,2054106.1,1.1431936E7,2327355.8,2.6110946E7
SLC1A3.5.2;SLC1A3.7,1.6532176E8,1.55632272E8,3.04404512E8,2.42478688E8,8.1566128E7,4.9090012E7,2.17906336E8,1.5012109E7,2.84536768E8,2.1270416E8,2.54812064E8,2.2666532E7,1.00072936E8,4.115422E7,1.14171008E8,6923415.5,2.98828768E8,9.8078064E7,3.11453152E8,2.07337216E8
DDX17.2.6,51693.137,466804.44,3255711.2,656204.4,142958.28,2.0862396E7,438162.53,2374853.2,476969.94,1.35219168E8,624255.4,3942231.8,223923.78,1624143,157314.11,1.7568184E7,1011399,2.74758E7,135448.88,3.902698E7
KRT17.1.4,462234.5,41756.426,6826.2207,9109.346,7095834.5,392.58606,1195777,602094.25,3215754,57100.406,787275.1,1432276.8,19196.473,1006783.56,105598.51,1602108.4,168855.69,230281.77,203832.17,7652.937
