Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
SERPINA1.15,0,0,1959.1442,55224.223,0,0,163437.4,932829.5,0,2303.5725,1060.9982,0,493.7998,0,3943.1182,0,373550.03,571757.4,0,2029.9182
CRMP1.5,6.6423981E8,3.0201844E7,1.23054264E8,1.87169856E8,1.27629734E9,7280720,2.05905824E8,1.2706887E7,4.8750928E8,3.4705592E7,3.20337888E8,1.909635E7,3.44997376E8,2.173581E7,2.37419344E8,1122218.4,3.8728416E8,2175527.5,3.43563456E8,5083742
HDGFL2.6;HDGFL2.6.2;HDGFL2.7;HDGFL2.7.2;HDGFL2.7.3,204333.6,969024.25,492972.62,761593,270029.53,10906.621,6525.9883,72524.58,396156.7,6627162.5,223960.97,550229.06,10388.799,320659.88,84352.51,518081.66,248049.83,1711323.1,31656.205,415136.66
CCT6A.1.4;CCT6A.2.5,986340.8,150346.64,334826.25,977113.9,2.16612944E8,2491530.5,1.0741344E7,3604490,4.4093352E7,3669147,1.5893599E7,3585303.2,2330776.5,595872.44,723145.8,486205.88,243838.84,307616.44,924343,209752.73
CAMKV.1.3,3.09584736E8,2.1690722E7,1.7132044E7,7.8559152E7,1.47481552E8,340547.7,1.81527952E8,309632.34,8.2529352E7,158708.95,6.2581532E7,193868.34,1.00165752E8,3091565.5,1.03374328E8,46045.797,8.5851184E7,252266.11,2.96170848E8,531591.25
HSPD1.1;HSPD1.1.14;HSPD1.1.17;HSPD1.1.19;HSPD1.1.7,3.6015224E7,7378300,1.5917969E7,1.6770176E7,1.46902925E9,2254108.8,7562613,1625064,4.4268776E7,1.7220548E7,1.2497889E7,1.0345038E7,1.0410143E7,3361513.8,8453841,667736.3,1.2793364E7,1999339,4.5915572E7,8274680.5
TUBA1B.1.4,4.4880468E7,1.9494078E7,4.0954868E7,4.1895724E7,9.3659864E7,7520893.5,3.4497224E7,1.604221E7,6.2105748E7,2.9954824E7,5.4204136E7,1.4345432E7,3.6840616E7,9033151,5.6901832E7,3633166.5,1.02515552E8,3.833414E7,5.162258E7,7380617
HNRNPK.1.11;HNRNPK.3.13;HNRNPK.3.15;HNRNPK.3.4;HNRNPK.3.7;HNRNPK.4;HNRNPK.4.2;HNRNPK.4.3;HNRNPK.8.13,1860647.6,6078191,2278443,2368324.5,4.835252E7,3273118,1306340,1137378.8,5592655,7623540,5535895,1.9830554E7,675284.25,3081829,2167997.5,6339708,1550844.4,4111301,357913.88,1534068.5
RAB3A.1;RAB3A.1.2;RAB3A.1.3;RAB3A.1.4;RAB3A.1.5;RAB3A.1.6;RAB3A.1.8;RAB3A.1.9,39898.406,0,33230.465,136402.1,176067.6,0,407109.25,61.766434,1470157.8,4108.109,1110809.1,0,410.6298,0,19879.299,0,150958.83,0,2427841,0
PKM.12,4377057.5,7146486.5,1.7541786E7,1.97146E7,3.7914824E7,9395865,1610944,7251890.5,8871444,9544616,5959131,7937755,2333344.8,3651524.8,3479353.2,7191796,5938948,1.0294098E7,6352205.5,6468682
