Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
TUBA4A.1.11;TUBA4A.1.14;TUBA4A.1.2;TUBA4A.2,2446460.5,40.136658,541434.4,725096,1504142.8,9792843,1093661.6,677420.75,724674.9,1332119.8,3727766.5,336533.28,2444499.8,2838.1868,2081396.9,3943507,1.4319164E7,5753.2754,3671996.5,20628.223
CNRIP1.2,935602.44,773150.5,30634.977,59426.4,70998.805,323167.62,311129.75,65891.78,165237.03,149717.8,250838.86,19738.277,30427.75,87866.086,167402.22,16747.414,589659.2,119803.8,810416.4,13363.494
HPRT1.1;HPRT1.1.4;HPRT1.1.5;HPRT1.1.6;HPRT1.1.7,4988559,728287.8,893742.1,1337042.2,1891751.8,96882.03,2953447.5,211255.77,1181416.2,60006.953,2732582.2,127920.11,2691800.8,35976.48,2924997.5,32750.566,2398119.5,78060.234,5312904,58467.406
CSRP1.2.3,5301727.5,5572948,5347147.5,2581847.2,4095315.5,3405843,2863080,2168204.2,5259234.5,1711549.8,7909406.5,3403667.8,5849139,3535540,1.7273084E7,3315604.8,7211213,1200639.9,5199744,1691205.5
GLUL.3.13;GLUL.3.16;GLUL.3.2;GLUL.3.20;GLUL.3.22;GLUL.3.23;GLUL.3.33;GLUL.3.37;GLUL.3.39;GLUL.3.4;GLUL.3.47;GLUL.3.51;GLUL.3.52;GLUL.3.55;GLUL.3.56;GLUL.3.57;GLUL.3.59;GLUL.3.6;GLUL.3.61;GLUL.3.62;GLUL.3.64;GLUL.3.65;GLUL.3.69;GLUL.3.72;GLUL.3.75;GLUL.3.8;GLUL.3.80;GLUL.3.81;GLUL.3.82;GLUL.3.9,2526494.5,146834,283336.2,668883.6,2052781,442794.62,1591103.2,88132.89,635826.6,106139.76,799898.4,59751.23,370564.53,143913.77,2143928.8,61686.83,636123.1,15225.663,1790797,65759.85
CKB.1;CKB.2.11;CKB.2.2;CKB.2.21;CKB.2.35;CKB.2.37;CKB.2.79;CKB.2.88,7578996,1.6408926E7,3224188,2919457.2,5072386,4448008.5,1.12932E7,5663413.5,977407,6883300,5516032.5,807759.1,7572590,7079072.5,1.251763E7,2070247.8,6705878,9973146,4.1684116E7,5612983.5
CRIP2.3;CRIP2.3.10;CRIP2.3.14;CRIP2.3.19;CRIP2.3.2;CRIP2.3.30;CRIP2.3.4;CRIP2.3.5;CRIP2.3.9,2407638.2,4178325,2327858,1932111.5,1284007,2651121.5,951114.44,2065195.5,1858301.1,1.4342071E7,6364292,650467.5,6301442,3484208.5,1.236839E7,943508.5,7258797.5,1.1937304E7,2320877,576968.3
HNRNPK.1.11;HNRNPK.3.4;HNRNPK.3.7,562755.3,1.2381488E7,748054.8,2794538,3277188.5,8.8412488E7,1079975.5,9461816,503986.9,1.3468848E8,2288875.2,574360.06,480021.94,8318198,513780.7,7.4031976E7,2.8577664E7,5.271458E7,3371958.2,8876789
GSN.1;GSN.20;GSN.20.2;GSN.36;GSN.36.2;GSN.36.3;GSN.36.5,55209.043,318179.44,130395.94,22218.486,1442194.4,5.3038764E7,582569.5,6852070,578904.2,1173008.5,1553246.9,1.5773089E7,1743690.8,1.0176189E7,276761.44,5.3790808E7,134157.1,115918.75,123792.55,548220.06
ATP6V1D.1.6,1152.4186,34965.645,40902.688,61567.37,689342.56,1.5513047E7,176738.42,145575.42,103155.61,3101968,16100.873,9815.842,2026.8273,1034.6831,258.23337,2679777,282541.2,276495.56,13192.92,4129.1294
