Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
PMP2.2;PMP2.2.2,426542.8,35175.492,6975713,1669281.2,2322841.5,2267448.8,2811640.8,7913162.5,8231182.5,2334825.5,3095044.5,3629146.8,1830291.2,385766.12,978551.44,373879.9,1354931.8,3103572,2491.5605,3940.0715
TAGLN3.1.6,9511445,5546709,6173590,7218083,1.0175354E7,7796026,2.0630542E7,5924242.5,8544383,1848517.9,3.4948744E7,1.1945734E7,5942548.5,3761765.5,6976587.5,1336873.2,3.2226306E7,1973739.9,9585926,1208579.8
HBB.1.17,8.1931008E7,1.2735728E8,2.07363904E8,7.1794024E7,2.19790032E8,3.84634976E8,8.4342317E8,2.44099277E9,3.08741312E8,5.28626304E8,9.1931296E7,4.35873376E8,1.6989552E8,1.33348928E8,1.04355615E10,2.87379968E8,8.4143048E7,1.11904848E8,5.0459664E7,1.91601856E8
TUBA1B.1.4,3.52472544E8,2.38541904E8,2.44572768E8,3.17325056E8,2.85131008E8,7.2397741E8,3.1328976E8,1.76187072E8,2.31285968E8,2.91236224E8,2.7663888E8,3.4477904E7,1.7155192E8,9.5695968E7,1.80333232E8,5.5695148E7,2.80426048E8,1.24150768E8,1.938596E8,2.0025048E8
MYL6.1.14;MYL6.1.15;MYL6.1.16;MYL6.1.18;MYL6.1.21;MYL6.1.23;MYL6.1.3;MYL6.1.31;MYL6.1.33;MYL6.1.39;MYL6.1.42;MYL6.1.47;MYL6.1.52;MYL6.1.55;MYL6.1.59;MYL6.1.70;MYL6.1.71;MYL6.1.9;MYL6.2.12;MYL6.2.6;MYL6.2.9,792128.5,1072251.4,988908.1,207469.31,1355775.5,3783527,1639426.4,6642723,5836634,2064397.9,668384.56,3577246.8,1547562,2424478,1.4712656E8,5409490,308939.22,2374298,492784.28,1371927.8
RAB2A.2,313660.84,205882.3,254073.31,43415.332,356374.94,505872.34,2012768.8,1306886.5,778311.25,1166987,612774.6,183348.56,245176.22,276219.97,215817.17,42529.836,857934.9,102352.19,450300.56,7327.0596
HSPB1.1.4,7669741,596513.7,1.1465388E7,2936343.2,722779.9,1.0308978E7,1000213.5,2643920.2,1.4444522E7,614045.75,200889.73,365541.8,207085.83,380297.38,966490.94,1887729.6,207869.67,173229.95,2596405,2603305.5
LCN2.1.2,34607.766,9735.215,3312.5344,3982.9033,387039.1,6878203.5,3127.3074,78171.72,928615.56,182141.12,17898.598,176446.44,77831.57,7437.5703,23587.096,4033526.2,125611.28,0,66816.72,188793.3
CSRP1.2.3,1723855.8,3242701,2310842.5,1043775.8,948778.1,2047542.2,3067292,1263927.4,2785365.8,7476415.5,2.1230424E7,2033346.4,988158.75,440315.9,1996444.8,2169176,2.6130338E7,3019487.2,2205905.8,305493.88
RAB7A.1.3;RAB7A.1.4,490842.34,203124.78,912005.3,458198.22,354799.94,1.5504334E7,1602697,4473387,1688148.8,8442518,1039454.94,3026328.5,283266.72,624811.06,697816.7,2.237262E7,3043255,1559835,803334.6,8509686
PGRMC2.1,12801.1,625973.7,24228.531,11610.686,253312.39,3537027.5,533672.4,210361.08,485579.2,2117625.5,2549779.2,271419.25,102985.125,26218.46,2413.0525,1118280.5,3894473.5,79952.46,4218.7354,786910.56
CDH2.2;CDH2.3;CDH2.3.2;CDH2.3.3;CDH2.3.4;CDH2.3.5;CDH2.3.6;CDH2.3.7,430.20135,178489.05,810851.7,233652.47,97454.37,49863.637,383543.6,648980.56,603598.5,295850.3,220029.94,0,56557.82,0,174467.31,0,275876.34,0,10349.392,81139.93
APOE.2;APOE.2.2;APOE.2.3;APOE.3.18;APOE.3.37;APOE.3.41,214799.52,1077912.8,1403140.4,1290248.8,2567310.5,4.4342628E7,3234291,5303961,4725024,1.3209885E7,2314713.8,8176979,823068.25,3353385.2,1772311.1,3.3034534E7,1258564,1492278.6,7587100,2.218676E7
CEND1.1;CEND1.1.2;CEND1.1.7;CEND1.1.8,563665.2,3159.4329,600961.5,306904.97,129482.5,3892.5867,743956,422781.03,379849.62,5352.774,320331.2,919717.1,163313.33,0,479355.2,75615.83,310729.3,178406.92,117066.305,26559.637
STX1A.2;STX1A.2.4,3278603.8,302507.78,711905,1113026.2,251772.4,7408.029,2984587.8,243452.88,1611029.9,1550.8339,797257.8,1171834.1,771318.44,104761.81,902491.06,7975.9683,1269467.1,83268.23,2026581.4,28738.252
IGLL5.2,0,17935.02,156061.69,2480.6528,1254.5396,5211.3945,1125786.4,328426.34,202.0653,0,4168.018,2357.3567,646.27686,4412.345,163549.03,15162.655,7728.028,0,2058.112,103032.91
INA.1.3,147071.05,29577.598,153571.58,125076.77,202911.75,39065.656,873439.3,4243274,296153.03,300169.06,717337.75,1.1306966E7,259779.11,63561.332,134494.48,91910.83,408688.78,7996.15,35400.492,23705.475
TUBA4A.1.11;TUBA4A.1.14;TUBA4A.1.2;TUBA4A.2,4.331222E7,5749424.5,1.879305E7,2.417993E7,4.3324532E7,9448846,3.7702012E7,5386278.5,2.9060914E7,2317962,2.8118966E7,539627.56,1.6417831E7,2582035.5,1.8633322E7,2032306.8,3.8130312E7,803974.7,2.338437E7,1563394.5
PPIA.2.11;PPIA.2.15;PPIA.2.17;PPIA.2.6;PPIA.2.7,7.5520531E8,1.04238704E8,3.65432346E9,1.14425178E9,9.4897568E8,1.16237904E8,2.47409562E9,1.0972041E9,7.0033382E8,2.2531012E7,8.214128E7,3.0939954E7,5.33845216E8,1.47470432E8,8.4795213E8,4495193.5,8766798,5832721,6.3186906E8,5.6328186E8
TLN1.1.3;TLN1.1.4,192826.11,144342.7,51824.664,500772.47,1011825.9,9531889,2101616.5,2024831.8,224683.83,1281500.6,126359.02,361271.1,702061.8,685680.4,99902.94,1.0756583E7,379130.97,347251.5,407951.25,1115897.4
OXCT1.1;OXCT1.1.2;OXCT1.6.2,2.7629026E7,1571988,1870652.4,2583482.2,2530429.5,91688.555,3.1059626E7,1325240.4,1521998.9,434124.47,1083279.4,200538.16,2563996,598547.9,415190.66,162472.89,1160382.9,4108961,5831775,79765.05
SEC22B.1.2,555600.3,754820.5,2703213.2,1848140.8,600038,2506829.8,1395892.8,2719219.5,826133.5,7769895.5,1287613.6,1892238.5,384539.94,954122,1422032.4,3362382.8,1120195.9,4567802.5,748357.1,7457206.5
HSPA5.1.14;HSPA5.1.15;HSPA5.1.3,85203.56,159130.05,108400.125,98096.94,798593.44,3.538882E7,2046024.2,1667813.2,3.2752736E7,2716984.8,61626.73,457629.47,21663.97,102702.58,1.5901059E7,5025215,19114.49,171278.88,63725.996,5380786
SNAP25.15.3;SNAP25.8;SNAP25.8.13;SNAP25.8.18;SNAP25.8.19;SNAP25.8.21;SNAP25.8.22;SNAP25.8.24;SNAP25.8.8;SNAP25.8.9,3062778,599671.56,1520052,1151637.2,7477591.5,182458.62,6927518.5,2883177.2,5849963.5,69694.69,6037077,3330439.2,3840032.5,978395.1,3203308.2,17993.422,5461585.5,16603.525,1475242.2,42862.094
