Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
CCDC50.1;CCDC50.1.2;CCDC50.1.3;CCDC50.1.4;CCDC50.1.5;CCDC50.1.6,2404372.8,7923533.5,7150184.5,5256328,3414940.8,2534115,3096457,4848492,3877380.2,1.3622927E7,4600740,5194080,5605650,8776983,3184005,3297014.2,2304434,4089323.2,2849964.5,2306666.5
DRG1.1;DRG1.1.11;DRG1.1.2;DRG1.1.9,3660526.5,143629.05,502227.12,1.6925634E7,76753.28,663241.8,283983.3,106394.94,2436257.5,2.8726898E7,30227.31,306327.9,71129.71,1773265.8,15209.883,659232.9,5209488,1779122.2,1748332.4,659677.06
GPATCH11.9;GPATCH11.9.2,483269.22,4267808.5,1968263.9,1821855.6,935681.8,381443.84,471117.28,1687716.2,493324.7,5801364,1122523.2,508091.84,626479.44,1931695.4,954647.9,538537.56,200731.25,2871584.8,801239.06,749086.94
TRAFD1.2;TRAFD1.2.2;TRAFD1.2.3,23475.645,87165.26,21214.23,4547.9614,2509.768,4997.5547,0,5985.533,26196.072,366678.3,15095.165,2364.1162,11686.086,1895.9932,10742.653,6283.609,13908.119,64821.94,6338.1733,4774.3623
PSAP.1;PSAP.1.10;PSAP.1.11;PSAP.1.13;PSAP.1.14;PSAP.1.15;PSAP.1.17;PSAP.1.18;PSAP.1.19;PSAP.1.2;PSAP.1.3;PSAP.1.4;PSAP.1.5;PSAP.1.6;PSAP.1.7;PSAP.1.8;PSAP.2;PSAP.2.2;PSAP.2.3;PSAP.2.4;PSAP.2.5;PSAP.2.6;PSAP.2.8;PSAP.3;PSAP.3.12;PSAP.3.14;PSAP.3.15;PSAP.3.16;PSAP.3.18;PSAP.3.19;PSAP.3.20;PSAP.3.21;PSAP.3.22;PSAP.3.23;PSAP.3.24;PSAP.3.3;PSAP.3.4;PSAP.3.5;PSAP.3.7;PSAP.3.8,52064.04,44461.004,162680.73,3103.5984,1148577.2,924.0669,709846.6,341487.47,922338.7,3726289,56747.934,289725.88,25299.389,13663.256,49223.65,15775.175,900.265,228860.97,3078.801,6060.3403
LCMT1.2.2;LCMT1.6,9402553,1218181.5,1.4994071E7,2.6775832E7,1.0909023E7,2820044.8,5.5971696E7,3163956,4.802474E7,5.93517E7,1.6488814E7,7578429,3.5399352E7,3.3631316E7,1.0656323E7,7253283.5,4.9817252E7,3.2656446E7,3.9878724E7,3333233.8
ADSL.1;ADSL.1.2;ADSL.1.3;ADSL.3.4;ADSL.3.5;ADSL.3.7;ADSL.4,412026.7,194625.88,28959.43,50316.305,139421.52,6764831,317885.44,78469.84,398290.22,493195,353208,75909.22,43634.66,54838.414,123792.445,1138799.5,34145.01,35049.37,23142.773,318314.72
APEX1.1.2;APEX1.1.3,5066355.5,8.9539904E7,8916126,1.304751E7,0,0,1.2168267E7,5.3236096E7,0,37752.945,3.3674952E7,5.2549724E7,0,43964.74,0,11261.409,8938802,4.8003E7,0,1213.0598
F11R.6;F11R.6.2,3567012.8,3.752534E7,6796907,5725098.5,1.1540228E7,2.9701852E7,1.042577E7,5.1822592E7,9450568,4.482396E7,1.7578288E7,1.2399808E8,7402048,3.7426552E7,9656881,1.44647616E8,1.3079449E7,2.1257846E7,6349182.5,1.12011728E8
BZW1.4;BZW1.4.2;BZW1.7;BZW1.7.2;BZW1.8,317343.75,857219.94,376335.12,257294.3,347280.56,7112271,105866.55,1349561.6,396934.2,1949672.6,31383.926,445993.78,78888.13,104073.44,136496.78,7.124604E7,181103.28,338649,172738.83,2114882.5
NIT2.1.3,15039.776,53100.87,62305.39,56799.113,84779.57,273171.16,392044.3,1062687.8,242368.94,69887.914,47797.3,49838.2,9801.34,36168.727,71770.38,480.6577,5097.438,45098.523,4056.5005,4052.2227
NCF1.1.2;NCF1.1.4,5589.6875,2277.9722,3640.8945,18729.89,0,2403990.5,492.52875,13133.244,17152.23,41750.312,6236.9966,925526.94,12683.877,52587.758,3504.5312,4770335.5,16257.908,43719.82,19369.541,3123348
API5.1;API5.1.3;API5.4;API5.4.2,2762.9749,11345.842,29937.043,19506.52,679289,51715.13,100175.875,192492.84,197059.94,4248478.5,19704.809,1492655.2,15313.151,109132.62,14016.649,12935.035,25835.777,6639.3735,4503.258,29064.926
TLE1.23;TLE1.23.2;TLE1.3;TLE2.2;TLE2.2.2;TLE2.2.3;TLE3.24;TLE4.4,2557.6672,258341.77,163662.64,410791.6,54274.227,1565582.6,179144.1,425368.88,403102.28,1471498.4,30760.416,266720.78,1181.1746,27033.727,19900.041,1743323.2,23740.66,171728.67,7081.539,1483462.6
PSMC5.1;PSMC5.1.10;PSMC5.1.14;PSMC5.1.15;PSMC5.1.19;PSMC5.1.21;PSMC5.1.22;PSMC5.1.23;PSMC5.1.26;PSMC5.1.27;PSMC5.1.4;PSMC5.1.5;PSMC5.1.7;PSMC5.1.8;PSMC5.2.11;PSMC5.2.13;PSMC5.2.14;PSMC5.2.16;PSMC5.2.2;PSMC5.2.4;PSMC5.2.5;PSMC5.2.6;PSMC5.2.8;PSMC5.2.9,13486.817,159163.39,156072.75,63564.688,21562.982,2119367,3107.675,591476.75,161143.95,574176.9,63126.277,104581.445,33063.277,68866.9,219815.17,500017.25,9918.926,110171.234,42452.12,1067380.6
DPP7.1;DPP7.1.2;DPP7.1.3;DPP7.1.7;DPP7.2;DPP7.3.2;DPP7.3.4;DPP7.3.5,12496.256,152456.27,19670.018,16546.156,76408.53,2065142,48209.805,287583.78,83423.125,863681.1,242945.69,1360332,56976.113,65820.086,181533.34,2930564.5,80754.51,1001297.25,18755.305,781329.25
TUBGCP3.4,2604.0166,4752.4,15102.66,23082.17,21652.465,514044.7,10131.867,2013.9099,0,27732.09,17738.29,23669.15,13448.572,19332.67,12312.657,40294.477,40403.324,1623.2478,20060.895,31716.385
