Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
YBX1.1;YBX1.1.11;YBX1.1.16;YBX1.1.17;YBX1.1.18;YBX1.1.27;YBX1.1.31;YBX1.1.33;YBX1.1.34;YBX1.1.5,351.62708,267551.25,2655.662,3171.295,0,131307.94,11878.894,343797.9,107259.586,2806777,6532.8,106794.51,0,92921.46,0,2958531,53980.926,1233763.1,2874.2786,1178756
TUBB3.2,583280.06,67234.89,486618.3,1408822,226211.02,2267583.2,262703.56,444086.16,265681.9,100716.63,96563.75,3532.0369,12220.288,3626.0547,118944.945,370284.62,496528.88,48215,192007.33,280282.38
HSPD1.1;HSPD1.1.14;HSPD1.1.17;HSPD1.1.19;HSPD1.1.7,580995.56,641973.44,711459.25,1089541.4,661963,2.4558606E7,500092.72,401143.75,398627.12,1.0720473E7,216681.23,677815.06,901890.2,332499.1,553841.44,3.9345396E7,908576.8,337896.78,297702.3,883456.4
SFXN1.1,337741.38,76156.35,1177822.4,635063.25,403431.03,4.5708448E7,2519363,1735002.5,1569752.9,1.936112E7,3551495.5,129684.41,12057.221,205245.47,41359.938,1.6320214E7,340265.8,255656.95,439991.03,3090639.2
CHCHD3.1;CHCHD3.1.2;CHCHD3.3;CHCHD3.3.3,5782.4834,38809.676,4533.327,63189.508,19016.719,1.5112699E7,70108.945,159988.17,42406.32,1.1151814E7,18985.248,23258.457,813.8633,73220.63,66878.86,9237750,22619.918,274481.34,6349.5176,965565
HEBP1.1.3,1632244.5,1001241.5,551475.6,905305,530206.4,881404.3,2417674,1015903.4,1298786,2627699,4630113,2511145,351804.84,493355.7,927340.75,1.2474768E7,3942436,3104217.8,1316943.9,2506483.2
LCN2.1.2,2044.5834,417183.66,40919.516,1538768,0,2.6995312E8,1022214.94,1.5270718E7,190689.77,3.000918E7,323935.5,2.2390272E7,0,3147872,3675.0796,6.7798618E8,3295086.5,678344.25,127450.87,5594421
LTF.4.3,22794.578,216047.53,58242.258,26943.447,1753.6656,956913.9,267.28943,0,0,1134.8794,648.0458,27027.49,6542.7153,54824.266,0,283590.3,143071.23,222260.75,107106.51,0
RAB14.1.2;RAB14.1.3,941377,126941.97,93077.06,499013.28,701207.9,1570774.2,1770383.9,2276531.5,759259.2,3360177,8856456,269810.12,13853.896,38874.977,728603.5,1562468.2,1.3205556E7,40531.367,816479.9,4582350
ABI1.1;ABI1.14;ABI1.15;ABI1.2;ABI1.6;ABI1.8;ABI1.9,1253373.6,2561882.2,4665215,3800319.8,1493547.5,1430837.5,1376666.2,7199708,1405904.6,1980027.1,459889.7,4060462.5,593071.94,2620202.5,2361224.5,4195698,1132705.1,3596217,1614063,7447507
TAGLN2.3.11;TAGLN2.3.9,4452234,4.626682E7,7.8459288E7,1.0985088E8,5022620,4.812314E7,1.4021256E7,1.76658128E8,1885034.9,5.8457448E7,9677740,3.6640208E7,2331377.8,4.849962E7,6873970.5,3.1861338E7,1.5955182E7,8.4100632E7,6188282,5.24037504E8
TUFM.2;TUFM.2.13;TUFM.2.5;TUFM.2.7,1047151.1,108396.945,746181.25,1982757.9,1135654.1,8249356,2068999.1,232976.31,480924.34,2287198.8,927644.25,81479.96,101608.05,410938.47,495825.8,1205515.1,853960,200423.8,828072.9,1036036.44
CDH2.2;CDH2.3;CDH2.3.2;CDH2.3.4;CDH2.3.5;CDH2.3.6;CDH2.3.7,10765.536,2166.3203,955666.8,608055,77092.12,22770.729,11511.936,18451.945,47502.695,132668.4,65441.16,115948.85,149134.56,53765.234,32754.594,11254.114,3935.7988,15999.193,3938.591,173759.73
PKM.5;PKM.8.10;PKM.8.12;PKM.8.13;PKM.8.4;PKM.8.6,1315140.4,12303.791,425305.94,635440.94,619771.3,1057.9386,426208.2,15.011542,857907.8,3529.9607,125398.516,0,321878.47,0,1670426.6,475907.2,110927.97,29529.113,649036.9,394061.3
GALK1.1;GALK1.1.5;GALK1.1.6;GALK1.1.7;GALK1.1.8;GALK1.1.9,30389.242,57805.438,3453.2642,67356.02,10642.086,1.6633323E7,1457.9678,272390.62,18246.988,9575587,1966.1873,11777.424,435.1361,9219.396,2978.1216,2921429.2,15933.107,32208.902,20564.857,2010018.1
SEC22B.1.2,1120182,2413779.8,3058196.8,5410624,897327.75,6862833,2729014,6151348,837743,4189451.2,803729.3,2280950.8,183817.3,2128342.5,1384991.8,2759732.2,582075.44,3816128,1613128,9210510
HP.3,1725295.5,1889420,1.3226413E7,1.3622355E7,3385755,5.3915704E7,1.3677841E7,3.8367224E7,9283258,1.0206519E7,869747.56,1090303.2,3755653,5203825,1.01228296E8,7171567.5,951038.8,7054504,1974781.2,1.9904032E7
VAMP1.2;VAMP1.3,4477944.5,25378.13,1388062.2,3655101.8,1473310.8,0,1647797,43960.984,382285.25,448.88577,115237.805,42318.05,37190.84,112.33583,1970466.9,9704.51,205270.83,0,635747.5,12754.65
TUBB4B.1.5,2604264.8,537741.44,3031484.5,3656355.8,3630669,2.0344004E7,4258689,2218814.5,4354138,8819071,1622142.4,428241.7,927137.75,509158.25,2906408,4483778,4950661,1037662.2,5089053.5,1488469.8
PDIA3.1.14;PDIA3.1.26,283423.94,551634.4,547383.6,563208.9,562422.7,1.934337E7,1658964.8,918151.7,655455.94,1.441241E7,103329.32,1029372.5,102096.75,563142.9,476510.3,3.2203544E7,147079.38,743388.56,795555.6,3697162.8
CMPK1.2;CMPK1.3;CMPK1.3.2,1108255.8,4371124,1438109.1,3803509.2,892515.7,3062073.2,6655358.5,4290314,1064029,3.3350648E7,2.9453282E7,4463952.5,380937.9,781029.2,208511.94,8153266.5,3.8022172E7,8981548,1253773.9,212539.62
NEFM.2,169808.66,415208.38,2100227.5,1814422.2,1272462.4,65481.117,237849.05,1.8491998E7,2142007,329703.72,4460454,9.381612E7,896929.3,889358.9,136171.42,263231.1,578138.4,219070.64,251904.61,331681
SEPTIN9.3,194918.47,1090302.2,463742.6,1248014.5,239476.7,2.2795484E7,1020472.5,2528651.5,374142.66,1.148003E7,332279.78,309810.4,221335.31,405918.06,161056.73,4117149.8,482872.5,2425639.8,62642.04,5131319.5
CKB.1;CKB.2.11;CKB.2.2;CKB.2.21;CKB.2.37;CKB.2.79;CKB.2.88,680498.44,466329.2,561519.2,1124393.1,462639.88,499633.16,833756,471002.5,3893642.2,4865668,1384498.1,1285887.8,823415.6,484833.2,721286.06,1422605,756376.5,2355921.5,452082.3,898370.25
OXR1.16,332248.97,38634.61,429935.84,983729.75,291009.7,39880.8,216516.72,1017968.75,346052.06,328555,550215.56,1355972.8,24162.986,235.67978,73813.805,2613.509,10671.74,106459.164,300629.84,131992.12
DTNA.11;DTNA.4;DTNA.7;DTNA.8,540564.56,2632124.2,1376394.5,1626513.5,187874.05,1215401.6,1328925.6,1143017.9,393356.62,2073204.8,1181209,77537.67,60318.785,1678341,410033.75,153595.9,1755891.1,1045745.9,432450.88,1135564.8
TUBA4A.1.11;TUBA4A.1.14;TUBA4A.1.2;TUBA4A.2,5410898.5,691596.6,2079413,6069470.5,2910602.8,1743321.2,3091602.5,1897160.8,4299354,1507233.4,2237146.5,267859.66,437551.34,162486.64,4001213.5,1382478.8,8153096,1075.8849,5225335,450091.56
UBQLN2.1.5,4140.2964,0,95851.53,278658.47,33164.64,279620.78,227206.45,273362.1,21899.48,288537.1,2421.1895,4538.222,0,35541.3,0,330009.97,90.299866,330501.28,0,1680830.2
IGSF8.3;IGSF8.3.2,1793112.5,10082.146,264369.47,683472.4,764483.56,28283.145,2793906.8,5978.589,1076587.4,44752.793,817873.6,423830.75,539460.5,74291.55,1097133.8,121854.78,572521.4,11277.169,911761.4,12048.033
FN1.12;FN1.13;FN1.13.2;FN1.15;FN1.15.5;FN1.16;FN1.3;FN1.3.2;FN1.3.3,384253.84,2696237.5,710061.94,2257397,45344.594,4.9844004E7,981384.6,2733686.5,23155.895,2246605.2,151773.03,4911937.5,43705.906,4662849,181892.88,2.0482658E7,58158.35,6820701,348767.56,1.0998272E7
RPS15.1;RPS15.1.10;RPS15.1.11;RPS15.1.12;RPS15.1.2;RPS15.1.3;RPS15.1.5;RPS15.1.6;RPS15.1.7;RPS15.1.8;RPS15.2,0,0,0,0,274.03384,4124.3823,170788.12,211566.02,407040.6,445122,13894.008,0,43049.44,393903.8,3847848.8,7349.1,212.59195,84837.35,113682.26,7793048.5
RPS3A.1.10,29584.674,2157616,853590.7,2867506,428125.56,3.6754916E7,688124.56,2793308,469545.75,9.3958632E7,294140.78,401006.28,38820.86,378072.88,316508.25,3.2835012E7,847003.6,7205973.5,1007566.44,3.0319544E7
ALDOA.1;ALDOA.1.13;ALDOA.1.33;ALDOA.1.53;ALDOA.1.58;ALDOA.1.71;ALDOA.1.98;ALDOA.2,3352366.2,4175027.8,2841314.2,4122574.5,2795245.2,1.5971484E7,1.2389688E7,4978785,6439844,1.3176435E7,4096462.8,3180903.2,1346278.2,3685333,3768753.8,1.6580342E7,5417094,6352936,4454861.5,5467074.5
ARFGAP1.9,295168.12,119634.58,339402.4,526054.44,117212.43,12123.959,674292.25,318994.5,114996.23,3671386,22138.79,262407.94,10040.111,132910.64,398132.16,13098.456,159703.27,39838.535,74003.734,546273.3
AP1S1.1;AP1S1.1.10;AP1S1.1.11;AP1S1.1.12;AP1S1.1.7;AP1S1.1.8,339100.16,333.36752,368006.16,383599.03,35745.234,3983.144,158030.84,110729.836,124066.336,94376.125,56911.434,53331.367,66992.39,35854.863,1521280.2,1539.6047,93447.01,14114.551,61874.69,10700.028
TPI1.1.10;TPI1.1.23;TPI1.1.44;TPI1.1.65;TPI1.1.70,1.4984062E7,8906657,1.1225408E7,1.6069319E7,1.2917895E7,4.9285364E7,1.8964084E7,1.0141837E7,1.149633E7,1.4567396E7,4431673.5,4944894,4890483,7097132,7644282.5,1.701891E7,3847963,1.6229698E7,1.3682219E7,1.2308959E7
ATP5F1A.4.2;ATP5F1A.5,4272898,1763759,3507703.5,8124758.5,2758438.2,6.9230328E7,3113334.2,1609991.5,3391504.5,3.0941126E7,3514046.8,1143544.5,344250,321687.8,1438456.6,4.3542E7,8988054,493467.88,2670127.2,1.9186528E7
HBG2.1;HBG2.1.2,28124.059,86837.42,50995.293,5743.5093,895.28284,59779.535,2482825.8,5217103.5,269783.47,1946246.2,157177.08,437167.97,23505.44,91846.86,22177.238,100774.836,87719.18,197845.02,48798.285,163223.86
RPL14.2.22,1718.5275,1066588.6,476038.12,679486,454092.3,1.4044893E7,445157.03,2129074,184031.2,1.5889906E7,354049.53,408910.06,10926.022,235351.45,3615.316,2151635.2,2783886.5,1.0495235E7,22387.066,2149905.2
